%time,field.x,field.y,field.theta
1421851253848357211,-1.74552462554,0.857410728256,0.163415624529
1421851253849822627,-1.74455882223,0.857873349273,0.163218556664
1421851254022737294,-1.74414003718,0.858491222863,0.162657163563
1421851254022882627,-1.73992360042,0.857915535287,0.162271689667
1421851254023257002,-1.73655538422,0.857556703396,0.163033098866
1421851254023590961,-1.73305953143,0.858112952128,0.163183670892
1421851254023944044,-1.72675817988,0.861790494262,0.162743847356
1421851254024275252,-1.72300364321,0.862769913342,0.162915959919
1421851254024585002,-1.71897372539,0.865058902828,0.16306329614
1421851254250306586,-1.71443132862,0.864138074777,0.163773163264
1421851254250697419,-1.70830478708,0.864906780755,0.164231616383
1421851254251111169,-1.6972417823,0.869306906501,0.164331135739
1421851254251470044,-1.68871788524,0.872452767517,0.164516335074
1421851254335738586,-1.66562108654,0.879414467407,0.166846890027
1421851254335895377,-1.65687226765,0.881408737562,0.167846036307
1421851254336536377,-1.62863843691,0.889405197135,0.169809689043
1421851254370266377,-1.60904830565,0.894366709064,0.171805550119
1421851254435483419,-1.58618031946,0.898824314867,0.174053432101
1421851254486063711,-1.57432478384,0.900778776595,0.174835843422
1421851254516714294,-1.56049766245,0.906261450609,0.175214966932
1421851254595312044,-1.54607357165,0.907890986187,0.176730427179
1421851254766205544,-1.38739343704,0.943614452893,0.183941756326
1421851254831923836,-1.37340013314,0.945678758267,0.184589677291
1421851254852830461,-1.35404067904,0.950532881891,0.184551227057
1421851254875118169,-1.3114105357,0.959204741122,0.18550544983
1421851254918092502,-1.29551426898,0.964449988853,0.185379865186
1421851254933308877,-1.2702740066,0.969452415185,0.185420365306
1421851254964883961,-1.25339960727,0.972863331376,0.185070591307
1421851254984538502,-1.22033178141,0.97958730372,0.184349215789
1421851255101079587,-1.10415935787,1.0011490971,0.182383907774
1421851255110605670,-1.0817237156,1.00464865419,0.18199542821
1421851255164613171,-1.02831921647,1.01636653985,0.180566209521
1421851255203602129,-0.982166002968,1.02249714975,0.180530925579
1421851255275940504,-0.96928409068,1.0255073425,0.180654213123
1421851255276060254,-0.934078954645,1.03137419277,0.181738210794
1421851255415435004,-0.910159308426,1.03436049732,0.18220878247
1421851255415572795,-0.89055863105,1.03868499432,0.182079536256
1421851255415981837,-0.824219783013,1.04866701074,0.181780528528
1421851255416119420,-0.805024436397,1.05036219675,0.181994190078
