%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1421850640463994026,127843,1421850640463994026,fcu,0.05859375,-0.001953125,0.00390625,-0.00917383774789,0.0160968948555,-0.19508980444,-0.980610370576
1421850640468996048,127844,1421850640468996048,fcu,0.05859375,-0.001953125,0.00390625,-0.00994115326122,0.0149486985133,-0.195102139055,-0.98061861354
1421850640473997831,127845,1421850640473997831,fcu,0.05859375,-0.001953125,0.00390625,-0.0101314605363,0.0159063698231,-0.195105431035,-0.98060094416
1421850640478997946,127846,1421850640478997946,fcu,0.05859375,-0.0,0.00390625,-0.0101314605363,0.0159063698231,-0.195105431035,-0.98060094416
1421850640489001989,127848,1421850640489001989,fcu,0.05859375,-0.0,0.00390625,-0.0101314605363,0.0159063698231,-0.195105431035,-0.98060094416
1421850640494001865,127849,1421850640494001865,fcu,0.05859375,-0.0,0.00390625,-0.0103217581492,0.0168640259633,-0.195108536949,-0.980582339606
1421850640499003887,127850,1421850640499003887,fcu,0.05859375,-0.0,0.00390625,-0.0112793530162,0.0166734822716,-0.195124912687,-0.980571792187
1421850640504005909,127851,1421850640504005909,fcu,0.05859375,-0.0,0.00390625,-0.0112793530162,0.0166734822716,-0.195124912687,-0.980571792187
1421850640509007931,127852,1421850640509007931,fcu,0.05859375,-0.0,0.00390625,-0.0112793530162,0.0166734822716,-0.195124912687,-0.980571792187
1421850640514008045,127853,1421850640514008045,fcu,0.05859375,-0.0,0.00390625,-0.0112793530162,0.0166734822716,-0.195124912687,-0.980571792187
1421850640519009829,127854,1421850640519009829,fcu,0.05859375,0.001953125,0.00390625,-0.0112793530162,0.0166734822716,-0.195124912687,-0.980571792187
1421850640524011850,127855,1421850640524011850,fcu,0.05859375,0.001953125,0.00390625,-0.0122369371264,0.0164829226788,-0.195141102339,-0.980560309623
1421850640529011965,127856,1421850640529011965,fcu,0.05859375,0.001953125,0.00390625,-0.0122369371264,0.0164829226788,-0.195141102339,-0.980560309623
1421850640534013987,127857,1421850640534013987,fcu,0.05859375,0.001953125,0.00390625,-0.0124271863693,0.0174405552069,-0.195145892566,-0.980540398295
1421850640539016008,127858,1421850640539016008,fcu,0.05859375,0.001953125,0.00390625,-0.0124271863693,0.0174405552069,-0.195145892566,-0.980540398295
1421850640544018030,127859,1421850640544018030,fcu,0.05859375,0.001953125,0.00390625,-0.0124271863693,0.0174405552069,-0.195145892566,-0.980540398295
1421850640549017906,127860,1421850640549017906,fcu,0.05859375,0.00390625,0.00390625,-0.0133847392741,0.0172499747602,-0.195162831303,-0.980527794814
1421850640554019928,127861,1421850640554019928,fcu,0.056640625,0.00390625,0.00390625,-0.0133847392741,0.0172499747602,-0.195162831303,-0.980527794814
1421850640559021950,127862,1421850640559021950,fcu,0.056640625,0.00390625,0.00390625,-0.0133847392741,0.0172499747602,-0.195162831303,-0.980527794814
1421850640564021826,127863,1421850640564021826,fcu,0.056640625,0.00390625,0.00390625,-0.0133847392741,0.0172499747602,-0.195162831303,-0.980527794814
1421850640569023848,127864,1421850640569023848,fcu,0.056640625,0.005859375,0.00390625,-0.0133847392741,0.0172499747602,-0.195162831303,-0.980527794814
