%time,field.header.seq,field.header.stamp,field.header.frame_id,field.channel0,field.channel1,field.channel2,field.channel3,field.channel4,field.channel5,field.channel6,field.channel7
1421850640378969908,14046,1421850640378969908,0,2080,1984,2336,2032,4080,4080,0,0
1421850640428983927,14047,1421850640428983927,0,2080,1984,2336,2032,4080,4080,0,0
1421850640478997946,14048,1421850640478997946,0,2080,1984,2336,2032,4080,4080,0,0
1421850640529011965,14049,1421850640529011965,0,2080,1984,2336,2032,4080,4080,0,0
1421850640579027891,14050,1421850640579027891,0,2080,1984,2336,2032,4080,4080,0,0
1421850640629041910,14051,1421850640629041910,0,2080,1984,2336,2032,4080,4080,0,0
1421850640679055929,14052,1421850640679055929,0,2080,1984,2336,2032,4080,4080,0,0
1421850640729069948,14053,1421850640729069948,0,2080,1984,2336,2032,4080,4080,0,0
1421850640779083967,14054,1421850640779083967,0,2080,1984,2336,2032,4080,4080,0,0
1421850640829097986,14055,1421850640829097986,0,2080,1984,2336,2032,4080,4080,0,0
1421850640879112005,14056,1421850640879112005,0,2080,1984,2336,2032,4080,4080,0,0
1421850640929127932,14057,1421850640929127932,0,2080,1984,2336,2032,4080,4080,0,0
1421850640979141951,14058,1421850640979141951,0,2080,1984,2336,2032,4080,4080,0,0
1421850641029155970,14059,1421850641029155970,0,2080,1984,2352,2032,4080,4080,0,0
1421850641079169989,14060,1421850641079169989,0,2080,1984,2352,2032,4080,4080,0,0
1421850641129184008,14061,1421850641129184008,0,2080,1984,2352,2032,4080,4080,0,0
1421850641179198027,14062,1421850641179198027,0,2080,1984,2352,2032,4080,4080,0,0
1421850641229212046,14063,1421850641229212046,0,2080,1984,2368,2032,4080,4080,0,0
1421850641279227972,14064,1421850641279227972,0,2080,1984,2368,2032,4080,4080,0,0
1421850641329241991,14065,1421850641329241991,0,2080,1984,2368,2032,4080,4080,0,0
1421850641379256010,14066,1421850641379256010,0,2080,1984,2368,2032,4080,4080,0,0
1421850641429270029,14067,1421850641429270029,0,2080,1984,2368,2032,4080,4080,0,0
1421850641479284048,14068,1421850641479284048,0,2080,1984,2368,2032,4080,4080,0,0
1421850641529297829,14069,1421850641529297829,0,2080,1984,2368,2032,4080,4080,0,0
1421850641579311848,14070,1421850641579311848,0,2080,1984,2368,2032,4080,4080,0,0
1421850641629328012,14071,1421850641629328012,0,2080,1984,2368,2032,4080,4080,0,0
1421850641679342031,14072,1421850641679342031,0,2080,1984,2368,2032,4080,4080,0,0
1421850641729356050,14073,1421850641729356050,0,2080,1984,2368,2032,4080,4080,0,0
1421850641779369831,14074,1421850641779369831,0,2080,1984,2368,2032,4080,4080,0,0
1421850641829383850,14075,1421850641829383850,0,2080,1984,2368,2032,4080,4080,0,0
1421850641879397869,14076,1421850641879397869,0,2080,1984,2368,2032,4080,4080,0,0
1421850641929411888,14077,1421850641929411888,0,2080,1984,2368,2032,4080,4080,0,0
1421850641979428053,14078,1421850641979428053,0,2080,1984,2368,2032,4080,4080,0,0
1421850642029441833,14079,1421850642029441833,0,2080,1984,2368,2032,4080,4080,0,0
1421850642079455853,14080,1421850642079455853,0,2080,1984,2368,2032,4080,4080,0,0
1421850642129469872,14081,1421850642129469872,0,2080,1984,2368,2032,4080,4080,0,0
1421850642179483891,14082,1421850642179483891,0,2080,1984,2368,2032,4080,4080,0,0
1421850642229497910,14083,1421850642229497910,0,2080,1984,2368,2032,4080,4080,0,0
1421850642279511929,14084,1421850642279511929,0,2080,1984,2368,2032,4080,4080,0,0
1421850642329527855,14085,1421850642329527855,0,2080,1984,2368,2032,4080,4080,0,0
1421850642379541874,14086,1421850642379541874,0,2080,1984,2368,2032,4080,4080,0,0
1421850642429555893,14087,1421850642429555893,0,2080,1984,2368,2032,4080,4080,0,0
1421850642479569912,14088,1421850642479569912,0,2080,1984,2368,2032,4080,4080,0,0
1421850642529583931,14089,1421850642529583931,0,2080,1984,2368,2032,4080,4080,0,0
1421850642579597950,14090,1421850642579597950,0,2080,1984,2368,2032,4080,4080,0,0
1421850642629611969,14091,1421850642629611969,0,2080,1984,2368,2032,4080,4080,0,0
1421850642679627895,14092,1421850642679627895,0,2080,1984,2368,2032,4080,4080,0,0
1421850642729641914,14093,1421850642729641914,0,2080,1984,2368,2032,4080,4080,0,0
1421850642779655933,14094,1421850642779655933,0,2080,1984,2368,2032,4080,4080,0,0
1421850642829669952,14095,1421850642829669952,0,2080,1984,2336,2032,4080,4080,0,0
1421850642879683971,14096,1421850642879683971,0,2080,1984,2336,2032,4080,4080,0,0
1421850642929697990,14097,1421850642929697990,0,2080,1984,2320,2032,4080,4080,0,0
1421850642979712009,14098,1421850642979712009,0,2080,1984,2320,2032,4080,4080,0,0
1421850643029727936,14099,1421850643029727936,0,2080,1984,2320,2032,4080,4080,0,0
1421850643079741955,14100,1421850643079741955,0,2080,1984,2320,2032,4080,4080,0,0
1421850643129755974,14101,1421850643129755974,0,2080,1984,2304,2032,4080,4080,0,0
1421850643179769993,14102,1421850643179769993,0,2080,1984,2304,2032,4080,4080,0,0
1421850643229784012,14103,1421850643229784012,0,2080,1984,2304,2032,4080,4080,0,0
1421850643279798031,14104,1421850643279798031,0,2080,1984,2304,2032,4080,4080,0,0
1421850643329812050,14105,1421850643329812050,0,2080,1984,2304,2032,4080,4080,0,0
1421850643379827976,14106,1421850643379827976,0,2080,1984,2304,2032,4080,4080,0,0
1421850643429841995,14107,1421850643429841995,0,2080,1984,2304,2032,4080,4080,0,0
1421850643479856014,14108,1421850643479856014,0,2080,1984,2304,2032,4080,4080,0,0
1421850643529870033,14109,1421850643529870033,0,2080,1984,2304,2032,4080,4080,0,0
1421850643579884052,14110,1421850643579884052,0,2080,1984,2304,2032,4080,4080,0,0
1421850643629897833,14111,1421850643629897833,0,2080,1984,2320,2032,4080,4080,0,0
1421850643679911852,14112,1421850643679911852,0,2080,1984,2320,2032,4080,4080,0,0
1421850643729928017,14113,1421850643729928017,0,2080,1984,2368,2032,4080,4080,0,0
1421850643779939890,14114,1421850643779939890,0,2080,1984,2368,2032,4080,4080,0,0
1421850643829952002,14115,1421850643829952002,0,2080,1984,2368,2032,4080,4080,0,0
1421850643879961967,14116,1421850643879961967,0,2080,1984,2368,2032,4080,4080,0,0
1421850643929973841,14117,1421850643929973841,0,2080,1984,2368,2032,4080,4080,0,0
1421850643979984045,14118,1421850643979984045,0,2080,1984,2368,2032,4080,4080,0,0
1421850644029995918,14119,1421850644029995918,0,2080,1984,2368,2032,4080,4080,0,0
1421850644080005884,14120,1421850644080005884,0,2080,1984,2368,2032,4080,4080,0,0
1421850644130017996,14121,1421850644130017996,0,2080,1984,2368,2032,4080,4080,0,0
1421850644180027962,14122,1421850644180027962,0,2080,1984,2368,2032,4080,4080,0,0
1421850644230039835,14123,1421850644230039835,0,2080,1984,2368,2032,4080,4080,0,0
1421850644280051947,14124,1421850644280051947,0,2080,1984,2368,2032,4080,4080,0,0
1421850644330061913,14125,1421850644330061913,0,2080,1984,2368,2032,4080,4080,0,0
1421850644380074024,14126,1421850644380074024,0,2080,1984,2368,2032,4080,4080,0,0
1421850644430083990,14127,1421850644430083990,0,2080,1984,2368,2032,4080,4080,0,0
1421850644480095863,14128,1421850644480095863,0,2080,1984,2368,2032,4080,4080,0,0
1421850644530105829,14129,1421850644530105829,0,2080,1984,2368,2032,4080,4080,0,0
1421850644580117941,14130,1421850644580117941,0,2080,1984,2368,2032,4080,4080,0,0
1421850644630127907,14131,1421850644630127907,0,2080,1984,2368,2032,4080,4080,0,0
1421850644680140018,14132,1421850644680140018,0,2080,1984,2368,2032,4080,4080,0,0
1421850644730151892,14133,1421850644730151892,0,2080,1984,2368,2032,4080,4080,0,0
1421850644780161858,14134,1421850644780161858,0,2080,1984,2320,2032,4080,4080,0,0
1421850644830173969,14135,1421850644830173969,0,2080,1984,2320,2032,4080,4080,0,0
1421850644880183935,14136,1421850644880183935,0,2080,1984,2320,2032,4080,4080,0,0
1421850644930196047,14137,1421850644930196047,0,2080,1984,2320,2032,4080,4080,0,0
1421850644980206013,14138,1421850644980206013,0,2080,1984,2320,2032,4080,4080,0,0
1421850645030217886,14139,1421850645030217886,0,2080,1984,2320,2032,4080,4080,0,0
1421850645080227852,14140,1421850645080227852,0,2080,1984,2320,2032,4080,4080,0,0
1421850645130239964,14141,1421850645130239964,0,2080,1984,2320,2032,4080,4080,0,0
1421850645180251837,14142,1421850645180251837,0,2080,1984,2320,2032,4080,4080,0,0
1421850645230262041,14143,1421850645230262041,0,2080,1984,2320,2032,4080,4080,0,0
1421850645280273914,14144,1421850645280273914,0,2080,1984,2320,2032,4080,4080,0,0
1421850645330283880,14145,1421850645330283880,0,2080,1984,2320,2032,4080,4080,0,0
1421850645380295992,14146,1421850645380295992,0,2080,1984,2320,2032,4080,4080,0,0
1421850645430305958,14147,1421850645430305958,0,2080,1984,2320,2032,4080,4080,0,0
1421850645480317831,14148,1421850645480317831,0,2080,1984,2320,2032,4080,4080,0,0
1421850645530328035,14149,1421850645530328035,0,2080,1984,2320,2032,4080,4080,0,0
1421850645580339909,14150,1421850645580339909,0,2080,1984,2320,2032,4080,4080,0,0
1421850645630352020,14151,1421850645630352020,0,2080,1984,2320,2032,4080,4080,0,0
1421850645680361986,14152,1421850645680361986,0,2080,1984,2320,2032,4080,4080,0,0
1421850645730373859,14153,1421850645730373859,0,2080,1984,2320,2032,4080,4080,0,0
1421850645780380011,14154,1421850645780380011,0,2080,1984,2320,2032,4080,4080,0,0
1421850645830385923,14155,1421850645830385923,0,2080,1984,2320,2032,4080,4080,0,0
1421850645880391836,14156,1421850645880391836,0,2080,1984,2320,2032,4080,4080,0,0
1421850645930397987,14157,1421850645930397987,0,2080,1984,2320,2032,4080,4080,0,0
1421850645980403900,14158,1421850645980403900,0,2080,1984,2320,2032,4080,4080,0,0
1421850646030410051,14159,1421850646030410051,0,2080,1984,2320,2032,4080,4080,0,0
1421850646080415964,14160,1421850646080415964,0,2080,1984,2320,2032,4080,4080,0,0
1421850646130421877,14161,1421850646130421877,0,2080,1984,2320,2032,4080,4080,0,0
1421850646180428028,14162,1421850646180428028,0,2080,1984,2320,2032,4080,4080,0,0
1421850646230432034,14163,1421850646230432034,0,2080,1984,2320,2032,4080,4080,0,0
1421850646280437946,14164,1421850646280437946,0,2080,1984,2320,2032,4080,4080,0,0
1421850646330443859,14165,1421850646330443859,0,2080,1984,2320,2032,4080,4080,0,0
1421850646380450010,14166,1421850646380450010,0,2080,1984,2320,2032,4080,4080,0,0
1421850646430455923,14167,1421850646430455923,0,2080,1984,2320,2032,4080,4080,0,0
1421850646480461836,14168,1421850646480461836,0,2080,1984,2320,2032,4080,4080,0,0
1421850646530467987,14169,1421850646530467987,0,2080,1984,2320,2032,4080,4080,0,0
1421850646580473900,14170,1421850646580473900,0,2080,1984,2320,2032,4080,4080,0,0
1421850646630480051,14171,1421850646630480051,0,2080,1984,2320,2032,4080,4080,0,0
1421850646680485964,14172,1421850646680485964,0,2080,1984,2320,2032,4080,4080,0,0
