%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1421851253821477890,56482,1421851253821477890,fcu,-1.74609375,0.859375,-0.001953125,0.00283982267516,0.00121330503477,-0.0819271601501,-0.996633535322
1421851253826478004,56483,1421851253826478004,fcu,-1.74609375,0.859375,-0.001953125,0.00283982267516,0.00121330503477,-0.0819271601501,-0.996633535322
1421851253831477880,56484,1421851253831477880,fcu,-1.74609375,0.859375,-0.001953125,0.00291983386978,0.0002400301319,-0.0819300506172,-0.996633776149
1421851253836477995,56485,1421851253836477995,fcu,-1.74609375,0.859375,-0.001953125,0.00291983386978,0.0002400301319,-0.0819300506172,-0.996633776149
1421851253841477871,56486,1421851253841477871,fcu,-1.744140625,0.859375,-0.001953125,0.00299984227983,-0.000733244999879,-0.0819328629497,-0.996633066513
1421851253846477985,56487,1421851253846477985,fcu,-1.744140625,0.859375,-0.001953125,0.00299984227983,-0.000733244999879,-0.0819328629497,-0.996633066513
1421851253851477861,56488,1421851253851477861,fcu,-1.744140625,0.859375,-0.001953125,0.00307984782901,-0.00170651943238,-0.0819355971449,-0.996631406413
1421851253856477976,56489,1421851253856477976,fcu,-1.744140625,0.859375,-0.001953125,0.00299984227983,-0.000733244999879,-0.0819328629497,-0.996633066513
1421851253861477852,56490,1421851253861477852,fcu,-1.744140625,0.859375,-0.001953125,0.00307984782901,-0.00170651943238,-0.0819355971449,-0.996631406413
1421851253866479874,56491,1421851253866479874,fcu,-1.744140625,0.859375,-0.001953125,0.00307984782901,-0.00170651943238,-0.0819355971449,-0.996631406413
1421851253871479988,56492,1421851253871479988,fcu,-1.744140625,0.859375,-0.001953125,0.00218657878054,-0.00275980877227,-0.0819355971449,-0.996631406413
1421851253876479864,56493,1421851253876479864,fcu,-1.7421875,0.859375,-0.001953125,0.00218657878054,-0.00275980877227,-0.0819355971449,-0.996631406413
1421851253881479979,56494,1421851253881479979,fcu,-1.7421875,0.859375,-0.001953125,0.00226658181849,-0.00373308107506,-0.0819372245976,-0.996627923519
1421851253886479855,56495,1421851253886479855,fcu,-1.7421875,0.859375,-0.001953125,0.00226658181849,-0.00373308107506,-0.0819372245976,-0.996627923519
1421851253891479969,56496,1421851253891479969,fcu,-1.7421875,0.859375,-0.001953125,0.00226658181849,-0.00373308107506,-0.0819372245976,-0.996627923519
1421851253896479845,56497,1421851253896479845,fcu,-1.7421875,0.859375,-0.001953125,0.00234658269486,-0.0047063498177,-0.0819387739089,-0.996623490166
1421851253901479959,56498,1421851253901479959,fcu,-1.740234375,0.859375,-0.001953125,0.00234658269486,-0.0047063498177,-0.0819387739089,-0.996623490166
1421851253906479836,56499,1421851253906479836,fcu,-1.740234375,0.859375,-0.001953125,0.00234658269486,-0.0047063498177,-0.0819387739089,-0.996623490166
1421851253911479950,56500,1421851253911479950,fcu,-1.740234375,0.859375,-0.001953125,0.00234658269486,-0.0047063498177,-0.0819387739089,-0.996623490166
1421851253916481972,56501,1421851253916481972,fcu,-1.740234375,0.859375,-0.001953125,0.00242658133336,-0.00567961407203,-0.0819402450773,-0.99661810636
1421851253921481848,56502,1421851253921481848,fcu,-1.73828125,0.859375,-0.001953125,0.00242658133336,-0.00567961407203,-0.0819402450773,-0.99661810636
1421851253926481962,56503,1421851253926481962,fcu,-1.73828125,0.859375,-0.001953125,0.00242658133336,-0.00567961407203,-0.0819402450773,-0.99661810636
1421851253931481838,56504,1421851253931481838,fcu,-1.73828125,0.859375,-0.001953125,0.00242658133336,-0.00567961407203,-0.0819402450773,-0.99661810636
1421851253936481953,56505,1421851253936481953,fcu,-1.73828125,0.859375,-0.001953125,0.00250657765769,-0.00665287290985,-0.0819416381013,-0.996611772104
1421851253941481829,56506,1421851253941481829,fcu,-1.73828125,0.859375,-0.001953125,0.00250657765769,-0.00665287290985,-0.0819416381013,-0.996611772104
1421851253946481943,56507,1421851253946481943,fcu,-1.736328125,0.859375,-0.001953125,0.00250657765769,-0.00665287290985,-0.0819416381013,-0.996611772104
1421851253951481819,56508,1421851253951481819,fcu,-1.736328125,0.859375,-0.001953125,0.00250657765769,-0.00665287290985,-0.0819416381013,-0.996611772104
1421851253956481934,56509,1421851253956481934,fcu,-1.736328125,0.859375,-0.001953125,0.00258657159156,-0.00762612540299,-0.0819429529798,-0.996604487405
1421851253961482048,56510,1421851253961482048,fcu,-1.736328125,0.859375,-0.001953125,0.00258657159156,-0.00762612540299,-0.0819429529798,-0.996604487405
1421851253966483831,56511,1421851253966483831,fcu,-1.734375,0.859375,-0.001953125,0.00258657159156,-0.00762612540299,-0.0819429529798,-0.996604487405
1421851253971483946,56512,1421851253971483946,fcu,-1.734375,0.859375,-0.001953125,0.00258657159156,-0.00762612540299,-0.0819429529798,-0.996604487405
1421851253976483822,56513,1421851253976483822,fcu,-1.734375,0.859375,-0.001953125,0.00258657159156,-0.00762612540299,-0.0819429529798,-0.996604487405
1421851253981483936,56514,1421851253981483936,fcu,-1.732421875,0.859375,-0.001953125,0.00266656305868,-0.0085993706233,-0.0819441897113,-0.99659625227
1421851253986484051,56515,1421851253986484051,fcu,-1.732421875,0.861328125,-0.001953125,0.00266656305868,-0.0085993706233,-0.0819441897113,-0.99659625227
1421851253991483927,56516,1421851253991483927,fcu,-1.732421875,0.861328125,-0.001953125,0.00266656305868,-0.0085993706233,-0.0819441897113,-0.99659625227
1421851253996484041,56517,1421851253996484041,fcu,-1.73046875,0.861328125,-0.001953125,0.00266656305868,-0.0085993706233,-0.0819441897113,-0.99659625227
1421851254001483917,56518,1421851254001483917,fcu,-1.728515625,0.861328125,-0.001953125,0.00274655198278,-0.00957260764261,-0.0819453482948,-0.996587066707
1421851254006484032,56519,1421851254006484032,fcu,-1.728515625,0.861328125,-0.001953125,0.00274655198278,-0.00957260764261,-0.0819453482948,-0.996587066707
1421851254011483908,56520,1421851254011483908,fcu,-1.7265625,0.861328125,-0.001953125,0.00274655198278,-0.00957260764261,-0.0819453482948,-0.996587066707
1421851254016485929,56521,1421851254016485929,fcu,-1.7265625,0.86328125,-0.001953125,0.00274655198278,-0.00957260764261,-0.0819453482948,-0.996587066707
1421851254021486044,56522,1421851254021486044,fcu,-1.724609375,0.86328125,-0.001953125,0.00274655198278,-0.00957260764261,-0.0819453482948,-0.996587066707
1421851254026485920,56523,1421851254026485920,fcu,-1.724609375,0.86328125,-0.001953125,0.00282653828755,-0.0105458355328,-0.0819464287291,-0.996576930725
1421851254031486034,56524,1421851254031486034,fcu,-1.72265625,0.86328125,-0.001953125,0.00274655198278,-0.00957260764261,-0.0819453482948,-0.996587066707
1421851254051486015,56528,1421851254051486015,fcu,-1.71875,0.865234375,-0.001953125,0.00282653828755,-0.0105458355328,-0.0819464287291,-0.996576930725
1421851254056485891,56529,1421851254056485891,fcu,-1.71875,0.865234375,-0.001953125,0.00282653828755,-0.0105458355328,-0.0819464287291,-0.996576930725
1421851254061486006,56530,1421851254061486006,fcu,-1.716796875,0.865234375,-0.001953125,0.00282653828755,-0.0105458355328,-0.0819464287291,-0.996576930725
1421851254066488028,56531,1421851254066488028,fcu,-1.716796875,0.8671875,-0.001953125,0.00282653828755,-0.0105458355328,-0.0819464287291,-0.996576930725
1421851254081487894,56534,1421851254081487894,fcu,-1.71484375,0.8671875,-0.001953125,0.00185331743553,-0.0106258563007,-0.0819360909881,-0.996579215811
1421851254086488008,56535,1421851254086488008,fcu,-1.71484375,0.8671875,-0.001953125,0.00185331743553,-0.0106258563007,-0.0819360909881,-0.996579215811
1421851254091487885,56536,1421851254091487885,fcu,-1.712890625,0.8671875,-0.001953125,0.00185331743553,-0.0106258563007,-0.0819360909881,-0.996579215811
1421851254096487999,56537,1421851254096487999,fcu,-1.712890625,0.8671875,-0.001953125,0.00193331183312,-0.0115990746483,-0.0819361428639,-0.996568207533
1421851254101487875,56538,1421851254101487875,fcu,-1.712890625,0.8671875,-0.001953125,0.00193331183312,-0.0115990746483,-0.0819361428639,-0.996568207533
1421851254111487865,56540,1421851254111487865,fcu,-1.7109375,0.8671875,-0.001953125,0.00193331183312,-0.0115990746483,-0.0819361428639,-0.996568207533
1421851254116487980,56541,1421851254116487980,fcu,-1.7109375,0.8671875,-0.001953125,0.000960099925768,-0.0116790848692,-0.0819247765742,-0.996569620332
1421851254121490002,56542,1421851254121490002,fcu,-1.708984375,0.8671875,-0.001953125,0.000960099925768,-0.0116790848692,-0.0819247765742,-0.996569620332
1421851254126489878,56543,1421851254126489878,fcu,-1.708984375,0.8671875,-0.001953125,0.000971504822461,-0.0116781417028,-0.0828979498746,-0.996489140478
1421851254136489868,56545,1421851254136489868,fcu,-1.70703125,0.8671875,-0.001953125,0.000971504822461,-0.0116781417028,-0.0828979498746,-0.996489140478
1421851254141489983,56546,1421851254141489983,fcu,-1.70703125,0.8671875,-0.001953125,-1.62941236129e-06,-0.0117590911505,-0.0828865059123,-0.99648961405
1421851254146489859,56547,1421851254146489859,fcu,-1.705078125,0.8671875,-0.001953125,-1.62941236129e-06,-0.0117590911505,-0.0828865059123,-0.99648961405
1421851254151489973,56548,1421851254151489973,fcu,-1.705078125,0.8671875,-0.001953125,-1.62941236129e-06,-0.0117590911505,-0.0828865059123,-0.99648961405
1421851254156489849,56549,1421851254156489849,fcu,-1.705078125,0.8671875,-0.001953125,-1.62941236129e-06,-0.0117590911505,-0.0828865059123,-0.99648961405
1421851254161489964,56550,1421851254161489964,fcu,-1.703125,0.8671875,-0.001953125,-1.62941236129e-06,-0.0117590911505,-0.0828865059123,-0.99648961405
1421851254166489840,56551,1421851254166489840,fcu,-1.703125,0.8671875,-0.001953125,-1.62941236129e-06,-0.0117590911505,-0.0828865059123,-0.99648961405
1421851254171491861,56552,1421851254171491861,fcu,-1.703125,0.869140625,-0.0,-1.62941236129e-06,-0.0117590911505,-0.0828865059123,-0.99648961405
1421851254176491976,56553,1421851254176491976,fcu,-1.701171875,0.869140625,-0.0,-0.00097476364563,-0.0118400293839,-0.0828749829033,-0.996489137296
