%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28,field.data29,field.data30,field.data31,field.data32,field.data33,field.data34,field.data35,field.data36,field.data37,field.data38,field.data39,field.data40,field.data41,field.data42
1421851135946441889,0,1421851135946441889,0,-0.0625,0.02734375,0.033203125,0.0,-0.01953125,-0.009765625,-0.333984375,1.0,0.068359375,0.0,1.0,0.0,0.0,0.072265625,0.12109375,-0.005859375,-0.0625,-0.107421875,-0.10546875,-0.02734375,-0.009765625,-0.083984375,0.07421875,0.125,-0.013671875,0.005859375,0.0,0.005859375,-0.01953125,0.046875,6.212890625,0.0,0.0,0.0,6.28125,0.005859375,-0.0078125,-0.005859375,-0.0078125,0.0,0.0,0.0,0.0
1421851135951442003,1,1421851135951442003,0,-0.0625,0.02734375,0.033203125,0.0,-0.23828125,-0.126953125,-0.05078125,1.0,0.068359375,0.0,1.0,0.0,0.0,0.072265625,0.12109375,-0.005859375,-0.0625,-0.107421875,-0.10546875,-0.02734375,-0.009765625,-0.083984375,0.07421875,0.125,-0.013671875,0.005859375,0.0,0.005859375,-0.01953125,0.046875,6.212890625,0.0,0.0,0.0,6.28125,0.005859375,-0.0078125,-0.005859375,-0.0078125,0.0,0.0,0.0,0.0
1421851135956444025,2,1421851135956444025,0,-0.0625,0.02734375,0.033203125,0.0,-0.072265625,-0.12890625,-0.38671875,1.0,0.068359375,0.0,1.0,0.0,0.0,0.072265625,0.12109375,-0.005859375,-0.0625,-0.107421875,-0.10546875,-0.02734375,-0.009765625,-0.083984375,0.07421875,0.125,-0.013671875,0.005859375,0.0,0.005859375,-0.01953125,0.044921875,6.212890625,0.0,0.0,0.0,6.28125,0.005859375,-0.0078125,-0.005859375,-0.0078125,0.0,0.0,0.0,0.0
1421851135961446047,3,1421851135961446047,0,-0.064453125,0.02734375,0.033203125,0.0,-0.1484375,-0.119140625,-0.1796875,1.0,0.068359375,0.0,1.0,0.0,0.0,0.072265625,0.12109375,-0.005859375,-0.0625,-0.107421875,-0.10546875,-0.02734375,-0.009765625,-0.083984375,0.07421875,0.125,-0.013671875,0.005859375,0.0,0.005859375,-0.021484375,0.046875,6.212890625,0.0,0.0,0.0,6.28125,0.005859375,-0.0078125,-0.005859375,-0.0078125,0.0,0.0,0.0,0.0
1421851135966447830,4,1421851135966447830,0,-0.064453125,0.02734375,0.033203125,0.0,-0.177734375,-0.1953125,-0.205078125,1.0,0.068359375,0.0,1.0,0.0,0.0,0.072265625,0.123046875,-0.005859375,-0.0625,-0.107421875,-0.10546875,-0.02734375,-0.009765625,-0.083984375,0.07421875,0.125,-0.013671875,0.005859375,0.0,0.005859375,-0.01953125,0.046875,6.212890625,0.0,0.0,0.0,6.28125,0.005859375,-0.0078125,-0.005859375,-0.0078125,0.0,0.0,0.0,0.0
1421851135971449852,5,1421851135971449852,0,-0.064453125,0.02734375,0.033203125,0.0,-0.04296875,-0.06640625,-0.33984375,1.0,0.068359375,0.0,1.0,0.0,0.0,0.072265625,0.123046875,-0.005859375,-0.0625,-0.107421875,-0.10546875,-0.02734375,-0.009765625,-0.083984375,0.07421875,0.125,-0.013671875,0.005859375,0.0,0.005859375,-0.01953125,0.044921875,6.212890625,0.0,0.0,0.0,6.28125,0.005859375,-0.0078125,-0.005859375,-0.0078125,0.0,0.0,0.0,0.0
1421851135976451874,6,1421851135976451874,0,-0.064453125,0.02734375,0.033203125,0.0,-0.291015625,-0.25,-0.142578125,1.0,0.068359375,0.0,1.0,0.0,0.0,0.072265625,0.123046875,-0.005859375,-0.0625,-0.107421875,-0.10546875,-0.02734375,-0.009765625,-0.083984375,0.07421875,0.125,-0.013671875,0.005859375,0.0,0.005859375,-0.01953125,0.046875,6.212890625,0.0,0.0,0.0,6.28125,0.005859375,-0.0078125,-0.005859375,-0.0078125,0.0,0.0,0.0,0.0
1421851135981451988,7,1421851135981451988,0,-0.0625,0.02734375,0.033203125,0.0,-0.076171875,-0.052734375,-0.302734375,1.0,0.068359375,0.0,1.0,0.0,0.0,0.072265625,0.123046875,-0.005859375,-0.0625,-0.107421875,-0.10546875,-0.02734375,-0.009765625,-0.083984375,0.07421875,0.125,-0.013671875,0.005859375,0.0,0.005859375,-0.01953125,0.044921875,6.212890625,0.0,0.0,0.0,6.28125,0.005859375,-0.0078125,-0.005859375,-0.0078125,0.0,0.0,0.0,0.0
1421851135986454010,8,1421851135986454010,0,-0.0625,0.02734375,0.033203125,0.0,-0.310546875,-0.1875,0.05078125,1.0,0.068359375,0.0,1.0,0.0,0.0,0.072265625,0.123046875,-0.005859375,-0.0625,-0.107421875,-0.10546875,-0.02734375,-0.01171875,-0.083984375,0.07421875,0.125,-0.013671875,0.005859375,0.0,0.005859375,-0.01953125,0.046875,6.212890625,0.0,0.0,0.0,6.28125,0.005859375,-0.0078125,-0.005859375,-0.0078125,0.0,0.0,0.0,0.0
1421851135991456032,9,1421851135991456032,0,-0.0625,0.02734375,0.033203125,0.0,-0.091796875,-0.095703125,-0.251953125,1.0,0.068359375,0.0,1.0,0.0,0.0,0.072265625,0.123046875,-0.005859375,-0.0625,-0.107421875,-0.10546875,-0.029296875,-0.01171875,-0.083984375,0.07421875,0.125,-0.013671875,0.005859375,0.0,0.005859375,-0.01953125,0.044921875,6.212890625,0.0,0.0,0.0,6.28125,0.005859375,-0.0078125,-0.005859375,-0.0078125,0.0,0.0,0.0,0.0
1421851135996458054,10,1421851135996458054,0,-0.0625,0.02734375,0.033203125,0.0,-0.3203125,-0.21484375,0.04296875,1.0,0.068359375,0.0,1.0,0.0,0.0,0.072265625,0.123046875,-0.005859375,-0.0625,-0.107421875,-0.10546875,-0.029296875,-0.01171875,-0.083984375,0.07421875,0.125,-0.013671875,0.005859375,0.0,0.005859375,-0.01953125,0.044921875,6.212890625,0.0,0.0,0.0,6.28125,0.005859375,-0.0078125,-0.005859375,-0.0078125,0.0,0.0,0.0,0.0
1421851136006461859,12,1421851136006461859,0,-0.0625,0.02734375,0.033203125,0.0,-0.0546875,-0.119140625,-0.26953125,1.0,0.068359375,0.0,1.0,0.0,0.0,0.072265625,0.123046875,-0.005859375,-0.0625,-0.107421875,-0.10546875,-0.029296875,-0.013671875,-0.083984375,0.07421875,0.125,-0.013671875,0.005859375,0.0,0.005859375,-0.01953125,0.044921875,6.212890625,0.0,0.0,0.0,6.28125,0.005859375,-0.0078125,-0.005859375,-0.0078125,0.0,0.0,0.0,0.0
