%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1421851407832453966,87281,1421851407832453966,fcu,0.029296875,-0.119140625,0.00390625,-0.00837367451112,-0.0219310881751,-0.0694144609705,0.997311657184
1421851407837453842,87282,1421851407837453842,fcu,0.029296875,-0.119140625,0.00390625,-0.00837367451112,-0.0219310881751,-0.0694144609705,0.997311657184
1421851407842455864,87283,1421851407842455864,fcu,0.029296875,-0.119140625,0.00390625,-0.00837367451112,-0.0219310881751,-0.0694144609705,0.997311657184
1421851407847455978,87284,1421851407847455978,fcu,0.029296875,-0.119140625,0.00390625,-0.00837367451112,-0.0219310881751,-0.0694144609705,0.997311657184
1421851407852455854,87285,1421851407852455854,fcu,0.029296875,-0.1171875,0.00390625,-0.00830618210725,-0.0209571199329,-0.0694092893919,0.997333523456
1421851407857455969,87286,1421851407857455969,fcu,0.029296875,-0.1171875,0.00390625,-0.00830618210725,-0.0209571199329,-0.0694092893919,0.997333523456
1421851407862455845,87287,1421851407862455845,fcu,0.029296875,-0.1171875,0.00390625,-0.00733221978237,-0.0210248924381,-0.0693887903608,0.997341159395
1421851407872455835,87289,1421851407872455835,fcu,0.029296875,-0.1171875,0.00390625,-0.00733221978237,-0.0210248924381,-0.0693887903608,0.997341159395
1421851407877455950,87290,1421851407877455950,fcu,0.029296875,-0.1171875,0.00390625,-0.00733221978237,-0.0210248924381,-0.0693887903608,0.997341159395
1421851407882455826,87291,1421851407882455826,fcu,0.029296875,-0.1171875,0.00390625,-0.00733221978237,-0.0210248924381,-0.0693887903608,0.997341159395
1421851407887455940,87292,1421851407887455940,fcu,0.029296875,-0.1171875,0.00390625,-0.00735274840435,-0.021017722043,-0.0703627230948,0.997272921346
1421851407892456055,87293,1421851407892456055,fcu,0.029296875,-0.1171875,0.00390625,-0.00735274840435,-0.021017722043,-0.0703627230948,0.997272921346
1421851407897455931,87294,1421851407897455931,fcu,0.029296875,-0.1171875,0.00390625,-0.00728427655377,-0.0200437955665,-0.0703584568476,0.997293774735
