%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28,field.data29,field.data30,field.data31,field.data32,field.data33,field.data34,field.data35,field.data36,field.data37,field.data38,field.data39,field.data40,field.data41,field.data42
1421850640288944006,9603,1421850640288944006,0,0.001953125,0.017578125,0.1953125,0.0,0.015625,-0.076171875,-0.091796875,1.0,0.390625,0.0,4.0,0.0,0.0,0.0625,0.015625,-0.00390625,-0.060546875,-0.13671875,-0.1171875,-0.052734375,-0.046875,-0.0234375,0.064453125,0.01953125,-0.00390625,0.001953125,-0.001953125,-0.0078125,0.005859375,0.03125,5.890625,0.0,0.0,0.0,6.28125,0.00390625,-0.005859375,0.005859375,-0.0078125,0.0,0.0,0.0,0.0
1421850640293946028,9604,1421850640293946028,0,0.001953125,0.017578125,0.1953125,0.0,0.00390625,0.05859375,-0.10546875,1.0,0.390625,0.0,4.0,0.0,0.0,0.0625,0.015625,-0.00390625,-0.060546875,-0.13671875,-0.1171875,-0.052734375,-0.046875,-0.0234375,0.064453125,0.01953125,-0.00390625,0.001953125,-0.001953125,-0.0078125,0.005859375,0.029296875,5.890625,0.0,0.0,0.0,6.28125,0.00390625,-0.005859375,0.005859375,-0.0078125,0.0,0.0,0.0,0.0
1421850640298948050,9605,1421850640298948050,0,0.001953125,0.017578125,0.1953125,0.0,-0.0703125,-0.115234375,0.123046875,1.0,0.390625,0.0,4.0,0.0,0.0,0.0625,0.015625,-0.00390625,-0.060546875,-0.13671875,-0.1171875,-0.052734375,-0.046875,-0.0234375,0.064453125,0.01953125,-0.00390625,0.001953125,-0.001953125,-0.0078125,0.005859375,0.03125,5.890625,0.0,0.0,0.0,6.28125,0.00390625,-0.005859375,0.005859375,-0.0078125,0.0,0.0,0.0,0.0
1421850640303947926,9606,1421850640303947926,0,0.001953125,0.017578125,0.1953125,0.0,0.060546875,0.041015625,-0.23046875,1.0,0.390625,0.0,4.0,0.0,0.0,0.0625,0.015625,-0.00390625,-0.060546875,-0.13671875,-0.1171875,-0.05078125,-0.046875,-0.0234375,0.064453125,0.013671875,-0.00390625,0.001953125,-0.001953125,-0.0078125,0.0078125,0.029296875,5.890625,0.0,0.0,0.0,6.28125,0.00390625,-0.005859375,0.005859375,-0.0078125,0.0,0.0,0.0,0.0
1421850640308949947,9607,1421850640308949947,0,0.001953125,0.017578125,0.1953125,0.0,-0.056640625,-0.025390625,-0.005859375,1.0,0.390625,0.0,4.0,0.0,0.0,0.0625,0.015625,-0.00390625,-0.060546875,-0.13671875,-0.1171875,-0.05078125,-0.046875,-0.0234375,0.064453125,0.013671875,-0.00390625,0.001953125,-0.001953125,-0.0078125,0.005859375,0.03125,5.890625,0.0,0.0,0.0,6.28125,0.00390625,-0.005859375,0.005859375,-0.0078125,0.0,0.0,0.0,0.0
1421850640323953867,9610,1421850640323953867,0,0.00390625,0.017578125,0.1953125,0.0,-0.0234375,-0.048828125,-0.23046875,1.0,0.390625,0.0,4.0,0.0,0.0,0.0625,0.013671875,-0.00390625,-0.060546875,-0.13671875,-0.1171875,-0.05078125,-0.048828125,-0.0234375,0.064453125,0.013671875,-0.00390625,0.001953125,-0.001953125,-0.0078125,0.0078125,0.03125,5.890625,0.0,0.0,0.0,6.28125,0.00390625,-0.005859375,0.005859375,-0.0078125,0.0,0.0,0.0,0.0
1421850640328955889,9611,1421850640328955889,0,0.00390625,0.01953125,0.1953125,0.0,0.025390625,0.029296875,-0.22265625,1.0,0.390625,0.0,4.0,0.0,0.0,0.0625,0.013671875,-0.00390625,-0.060546875,-0.13671875,-0.1171875,-0.05078125,-0.048828125,-0.0234375,0.064453125,0.013671875,-0.00390625,0.001953125,-0.001953125,-0.0078125,0.0078125,0.03125,5.890625,0.0,0.0,0.0,6.28125,0.00390625,-0.005859375,0.005859375,-0.0078125,0.0,0.0,0.0,0.0
1421850640338958025,9613,1421850640338958025,0,0.00390625,0.01953125,0.1953125,0.0,0.087890625,0.072265625,-0.357421875,1.0,0.390625,0.0,4.0,0.0,0.0,0.0625,0.013671875,-0.00390625,-0.060546875,-0.13671875,-0.1171875,-0.05078125,-0.05078125,-0.0234375,0.0625,0.01171875,-0.00390625,0.001953125,-0.001953125,-0.0078125,0.0078125,0.03125,5.890625,0.0,0.0,0.0,6.28125,0.00390625,-0.005859375,0.005859375,-0.0078125,0.0,0.0,0.0,0.0
1421850640343960047,9614,1421850640343960047,0,0.00390625,0.01953125,0.1953125,0.0,-0.126953125,-0.1484375,-0.044921875,1.0,0.390625,0.0,4.0,0.0,0.0,0.0625,0.013671875,-0.00390625,-0.060546875,-0.13671875,-0.1171875,-0.048828125,-0.05078125,-0.025390625,0.0625,0.009765625,-0.00390625,0.001953125,-0.001953125,-0.0078125,0.0078125,0.03125,5.890625,0.0,0.0,0.0,6.28125,0.00390625,-0.005859375,0.005859375,-0.0078125,0.0,0.0,0.0,0.0
1421850640348961830,9615,1421850640348961830,0,0.005859375,0.01953125,0.1953125,0.0,0.08984375,0.013671875,-0.2890625,1.0,0.390625,0.0,4.0,0.0,0.0,0.0625,0.01171875,-0.00390625,-0.060546875,-0.13671875,-0.1171875,-0.05078125,-0.05078125,-0.025390625,0.0625,0.009765625,-0.00390625,0.001953125,-0.001953125,-0.0078125,0.0078125,0.03125,5.890625,0.0,0.0,0.0,6.28125,0.00390625,-0.005859375,0.005859375,-0.0078125,0.0,0.0,0.0,0.0
1421850640358963966,9617,1421850640358963966,0,0.005859375,0.01953125,0.1953125,0.0,-0.041015625,-0.06640625,-0.1328125,1.0,0.390625,0.0,4.0,0.0,0.0,0.060546875,0.01171875,-0.00390625,-0.060546875,-0.13671875,-0.1171875,-0.05078125,-0.052734375,-0.025390625,0.0625,0.009765625,-0.00390625,0.001953125,-0.001953125,-0.0078125,0.0078125,0.03125,5.890625,0.0,0.0,0.0,6.28125,0.00390625,-0.005859375,0.005859375,-0.0078125,0.0,0.0,0.0,0.0
