%time,field.header.seq,field.header.stamp,field.header.frame_id,field.channel0,field.channel1,field.channel2,field.channel3,field.channel4,field.channel5,field.channel6,field.channel7
1421851136121500015,3318,1421851136121500015,0,2080,2000,2336,2032,4080,4080,0,0
1421851136171515942,3319,1421851136171515942,0,2080,2000,2336,2032,4080,4080,0,0
1421851136221531868,3320,1421851136221531868,0,2080,2000,2336,2032,4080,4080,0,0
1421851136271549940,3321,1421851136271549940,0,2080,2000,2336,2032,4080,4080,0,0
1421851136321565866,3322,1421851136321565866,0,2080,2000,2336,2032,4080,4080,0,0
1421851136371582031,3323,1421851136371582031,0,2080,2000,2336,2032,4080,4080,0,0
1421851136421599865,3324,1421851136421599865,0,2080,2000,2336,2032,4080,4080,0,0
1421851136471616030,3325,1421851136471616030,0,2080,2000,2336,2032,4080,4080,0,0
1421851136521631956,3326,1421851136521631956,0,2080,2000,2336,2032,4080,4080,0,0
1421851136571650028,3327,1421851136571650028,0,2080,2000,2336,2032,4080,4080,0,0
1421851136621665955,3328,1421851136621665955,0,2080,2000,2336,2032,4080,4080,0,0
1421851136671681881,3329,1421851136671681881,0,2080,2000,2336,2032,4080,4080,0,0
1421851136721699953,3330,1421851136721699953,0,2080,2000,2336,2032,4080,4080,0,0
1421851136771715879,3331,1421851136771715879,0,2080,2000,2336,2032,4080,4080,0,0
1421851136821732044,3332,1421851136821732044,0,2080,2000,2336,2032,4080,4080,0,0
1421851136871749878,3333,1421851136871749878,0,2080,2000,2336,2032,4080,4080,0,0
1421851136921766043,3334,1421851136921766043,0,2080,2000,2336,2032,4080,4080,0,0
1421851136971781969,3335,1421851136971781969,0,2080,2000,2336,2032,4080,4080,0,0
1421851137021800041,3336,1421851137021800041,0,2080,2000,2336,2032,4080,4080,0,0
1421851137070816040,3337,1421851137070816040,0,2080,2000,2336,2032,4080,4080,0,0
1421851137120831966,3338,1421851137120831966,0,2080,2000,2336,2032,4080,4080,0,0
1421851137170850039,3339,1421851137170850039,0,2080,2000,2336,2032,4080,4080,0,0
1421851137220865965,3340,1421851137220865965,0,2080,2000,2336,2032,4080,4080,0,0
1421851137270881891,3341,1421851137270881891,0,2080,2000,2336,2032,4080,4080,0,0
1421851137320899963,3342,1421851137320899963,0,2080,2000,2336,2032,4080,4080,0,0
1421851137370915890,3343,1421851137370915890,0,2080,2000,2336,2032,4080,4080,0,0
1421851137420932055,3344,1421851137420932055,0,2080,2000,2336,2032,4080,4080,0,0
1421851137470949888,3345,1421851137470949888,0,2080,2000,2336,2032,4080,4080,0,0
1421851137520966053,3346,1421851137520966053,0,2080,2000,2336,2032,4080,4080,0,0
1421851137570981979,3347,1421851137570981979,0,2080,2000,2336,2032,4080,4080,0,0
1421851137621000051,3348,1421851137621000051,0,2080,2000,2336,2032,4080,4080,0,0
1421851137671015978,3349,1421851137671015978,0,2080,2000,2336,2032,4080,4080,0,0
1421851137721031904,3350,1421851137721031904,0,2080,2000,2336,2032,4080,4080,0,0
1421851137771049976,3351,1421851137771049976,0,2080,2000,2336,2032,4080,4080,0,0
1421851137821065903,3352,1421851137821065903,0,2080,2000,2336,2032,4080,4080,0,0
1421851137871081829,3353,1421851137871081829,0,2080,2000,2336,2032,4080,4080,0,0
1421851137921099901,3354,1421851137921099901,0,2080,2000,2336,2032,4080,4080,0,0
1421851137971115828,3355,1421851137971115828,0,2080,2000,2304,2032,4080,4080,0,0
1421851138021131992,3356,1421851138021131992,0,2080,2000,2288,2032,4080,4080,0,0
1421851138071149826,3357,1421851138071149826,0,2080,2000,2288,2032,4080,4080,0,0
1421851138121165991,3358,1421851138121165991,0,2080,2000,2288,2032,4080,4080,0,0
1421851138171181917,3359,1421851138171181917,0,2080,2000,2288,2032,4080,4080,0,0
1421851138221199989,3360,1421851138221199989,0,2080,2000,2288,2032,4080,4080,0,0
1421851138271215916,3361,1421851138271215916,0,2080,2000,2352,2032,4080,4080,0,0
1421851138321231842,3362,1421851138321231842,0,2080,2000,2352,2032,4080,4080,0,0
1421851138371249914,3363,1421851138371249914,0,2080,2000,2352,2032,4080,4080,0,0
1421851138421265841,3364,1421851138421265841,0,2080,2000,2368,2032,4080,4080,0,0
1421851138471282005,3365,1421851138471282005,0,2080,2000,2368,2032,4080,4080,0,0
1421851138521299839,3366,1421851138521299839,0,2080,2000,2368,2032,4080,4080,0,0
1421851138571316004,3367,1421851138571316004,0,2080,2000,2368,2032,4080,4080,0,0
1421851138621331930,3368,1421851138621331930,0,2080,2000,2368,2032,4080,4080,0,0
1421851138671350002,3369,1421851138671350002,0,2080,2000,2368,2032,4080,4080,0,0
1421851138721365929,3370,1421851138721365929,0,2080,2000,2368,2032,4080,4080,0,0
1421851138771381855,3371,1421851138771381855,0,2080,2000,2368,2032,4080,4080,0,0
1421851138821399927,3372,1421851138821399927,0,2080,2000,2368,2032,4080,4080,0,0
1421851138871415854,3373,1421851138871415854,0,2080,2000,2368,2032,4080,4080,0,0
1421851138921432018,3374,1421851138921432018,0,2080,2000,2368,2032,4080,4080,0,0
1421851138971449852,3375,1421851138971449852,0,2080,2000,2368,2032,4080,4080,0,0
1421851139021466017,3376,1421851139021466017,0,2080,2000,2368,2032,4080,4080,0,0
1421851139071481943,3377,1421851139071481943,0,2080,2000,2368,2032,4080,4080,0,0
1421851139121500015,3378,1421851139121500015,0,2080,2000,2368,2032,4080,4080,0,0
1421851139171515942,3379,1421851139171515942,0,2080,2000,2368,2032,4080,4080,0,0
1421851139221531868,3380,1421851139221531868,0,2080,2000,2368,2032,4080,4080,0,0
1421851139271549940,3381,1421851139271549940,0,2080,2000,2368,2032,4080,4080,0,0
1421851139321565866,3382,1421851139321565866,0,2080,2000,2368,2032,4080,4080,0,0
1421851139371582031,3383,1421851139371582031,0,2080,2000,2368,2032,4080,4080,0,0
1421851139421599865,3384,1421851139421599865,0,2080,2000,2368,2032,4080,4080,0,0
1421851139471616030,3385,1421851139471616030,0,2080,2000,2368,2032,4080,4080,0,0
1421851139521631956,3386,1421851139521631956,0,2080,2000,2368,2032,4080,4080,0,0
1421851139571650028,3387,1421851139571650028,0,2080,2000,2368,2032,4080,4080,0,0
1421851139621665955,3388,1421851139621665955,0,2080,2000,2368,2032,4080,4080,0,0
1421851139671681881,3389,1421851139671681881,0,2080,2000,2368,2032,4080,4080,0,0
1421851139721699953,3390,1421851139721699953,0,2080,2000,2368,2032,4080,4080,0,0
1421851139771715879,3391,1421851139771715879,0,2080,2000,2368,2032,4080,4080,0,0
1421851139821735859,3392,1421851139821735859,0,2080,2000,2368,2032,4080,4080,0,0
1421851139871755838,3393,1421851139871755838,0,2080,2000,2368,2032,4080,4080,0,0
1421851139921775818,3394,1421851139921775818,0,2080,2000,2368,2032,4080,4080,0,0
1421851139971796036,3395,1421851139971796036,0,2080,2000,2368,2032,4080,4080,0,0
1421851140021816015,3396,1421851140021816015,0,2080,2000,2368,2032,4080,4080,0,0
1421851140071835995,3397,1421851140071835995,0,2080,2000,2368,2032,4080,4080,0,0
1421851140121855974,3398,1421851140121855974,0,2080,2000,2368,2032,4080,4080,0,0
1421851140171875954,3399,1421851140171875954,0,2080,2000,2368,2032,4080,4080,0,0
1421851140221895933,3400,1421851140221895933,0,2080,2000,2368,2032,4080,4080,0,0
1421851140271915913,3401,1421851140271915913,0,2080,2000,2368,2032,4080,4080,0,0
1421851140321935892,3402,1421851140321935892,0,2080,2000,2368,2032,4080,4080,0,0
1421851140371955872,3403,1421851140371955872,0,2080,2000,2368,2032,4080,4080,0,0
1421851140421975851,3404,1421851140421975851,0,2080,2000,2368,2032,4080,4080,0,0
1421851140471995831,3405,1421851140471995831,0,2080,2000,2368,2032,4080,4080,0,0
