%time,field.header.seq,field.header.stamp,field.header.frame_id,field.channel0,field.channel1,field.channel2,field.channel3,field.channel4,field.channel5,field.channel6,field.channel7
1421850126084954023,3761,1421850126084954023,0,2080,1984,2320,2048,4080,4080,0,0
1421850126134958029,3762,1421850126134958029,0,2080,1984,2320,2048,4080,4080,0,0
1421850126184962034,3763,1421850126184962034,0,2080,1984,2320,2048,4080,4080,0,0
1421850126234966040,3764,1421850126234966040,0,2080,1984,2320,2048,4080,4080,0,0
1421850126284970045,3765,1421850126284970045,0,2080,1984,2320,2048,4080,4080,0,0
1421850126334974051,3766,1421850126334974051,0,2080,1984,2320,2048,4080,4080,0,0
1421850126384977818,3767,1421850126384977818,0,2080,1984,2320,2048,4080,4080,0,0
1421850126434981823,3768,1421850126434981823,0,2080,1984,2320,2048,4080,4080,0,0
1421850126484985828,3769,1421850126484985828,0,2080,1984,2320,2048,4080,4080,0,0
1421850126534989834,3770,1421850126534989834,0,2080,1984,2320,2048,4080,4080,0,0
1421850126584993839,3771,1421850126584993839,0,2080,1984,2320,2048,4080,4080,0,0
1421850126634997845,3772,1421850126634997845,0,2080,1984,2320,2048,4080,4080,0,0
1421850126685001850,3773,1421850126685001850,0,2080,1984,2320,2048,4080,4080,0,0
1421850126735005856,3774,1421850126735005856,0,2080,1984,2320,2048,4080,4080,0,0
1421850126785009861,3775,1421850126785009861,0,2080,1984,2320,2048,4080,4080,0,0
1421850126835013866,3776,1421850126835013866,0,2080,1984,2320,2048,4080,4080,0,0
1421850126885017872,3777,1421850126885017872,0,2080,1984,2320,2048,4080,4080,0,0
1421850126935021877,3778,1421850126935021877,0,2080,1984,2320,2048,4080,4080,0,0
1421850126985025883,3779,1421850126985025883,0,2080,1984,2320,2048,4080,4080,0,0
1421850127035029888,3780,1421850127035029888,0,2080,1984,2320,2048,4080,4080,0,0
1421850127085033894,3781,1421850127085033894,0,2080,1984,2320,2048,4080,4080,0,0
1421850127135037899,3782,1421850127135037899,0,2080,1984,2320,2048,4080,4080,0,0
1421850127185041904,3783,1421850127185041904,0,2080,1984,2320,2048,4080,4080,0,0
1421850127235045910,3784,1421850127235045910,0,2080,1984,2320,2048,4080,4080,0,0
1421850127285049915,3785,1421850127285049915,0,2080,1984,2320,2048,4080,4080,0,0
1421850127335053921,3786,1421850127335053921,0,2080,1984,2320,2048,4080,4080,0,0
1421850127385057926,3787,1421850127385057926,0,2080,1984,2320,2048,4080,4080,0,0
1421850127435061932,3788,1421850127435061932,0,2080,1984,2320,2048,4080,4080,0,0
1421850127485065937,3789,1421850127485065937,0,2080,1984,2320,2048,4080,4080,0,0
1421850127535069942,3790,1421850127535069942,0,2080,1984,2320,2048,4080,4080,0,0
1421850127585073948,3791,1421850127585073948,0,2080,1984,2320,2048,4080,4080,0,0
1421850127635077953,3792,1421850127635077953,0,2080,1984,2320,2048,4080,4080,0,0
1421850127685081959,3793,1421850127685081959,0,2080,1984,2320,2048,4080,4080,0,0
1421850127735087872,3794,1421850127735087872,0,2080,1984,2320,2048,4080,4080,0,0
1421850127785091877,3795,1421850127785091877,0,2080,1984,2320,2048,4080,4080,0,0
1421850127835095882,3796,1421850127835095882,0,2080,1984,2352,2048,4080,4080,0,0
1421850127885097980,3797,1421850127885097980,0,2080,1984,2384,2048,4080,4080,0,0
1421850127935101986,3798,1421850127935101986,0,2080,1984,2384,2048,4080,4080,0,0
1421850127985105991,3799,1421850127985105991,0,2080,1984,2384,2048,4080,4080,0,0
1421850128035109997,3800,1421850128035109997,0,2080,1984,2384,2048,4080,4080,0,0
1421850128085114002,3801,1421850128085114002,0,2080,1984,2384,2048,4080,4080,0,0
1421850128135118008,3802,1421850128135118008,0,2080,1984,2384,2048,4080,4080,0,0
1421850128185122013,3803,1421850128185122013,0,2080,1984,2384,2048,4080,4080,0,0
1421850128235123873,3804,1421850128235123873,0,2080,1984,2384,2048,4080,4080,0,0
1421850128285127878,3805,1421850128285127878,0,2080,1984,2384,2048,4080,4080,0,0
1421850128335131884,3806,1421850128335131884,0,2080,1984,2384,2048,4080,4080,0,0
1421850128385135889,3807,1421850128385135889,0,2080,1984,2336,2048,4080,4080,0,0
1421850128435139894,3808,1421850128435139894,0,2080,1984,2336,2048,4080,4080,0,0
1421850128485143900,3809,1421850128485143900,0,2080,1984,2336,2048,4080,4080,0,0
1421850128535147905,3810,1421850128535147905,0,2080,1984,2336,2048,4080,4080,0,0
1421850128585150003,3811,1421850128585150003,0,2080,1984,2336,2048,4080,4080,0,0
1421850128635154009,3812,1421850128635154009,0,2080,1984,2336,2048,4080,4080,0,0
1421850128685158014,3813,1421850128685158014,0,2080,1984,2336,2048,4080,4080,0,0
1421850128735162020,3814,1421850128735162020,0,2080,1984,2336,2048,4080,4080,0,0
1421850128785166025,3815,1421850128785166025,0,2080,1984,2336,2048,4080,4080,0,0
1421850128835170031,3816,1421850128835170031,0,2080,1984,2336,2048,4080,4080,0,0
1421850128885171890,3817,1421850128885171890,0,2080,1984,2336,2048,4080,4080,0,0
1421850128935175896,3818,1421850128935175896,0,2080,1984,2336,2048,4080,4080,0,0
1421850128985179901,3819,1421850128985179901,0,2080,1984,2336,2048,4080,4080,0,0
1421850129035183907,3820,1421850129035183907,0,2080,1984,2336,2048,4080,4080,0,0
1421850129085187912,3821,1421850129085187912,0,2080,1984,2368,2048,4080,4080,0,0
1421850129135191917,3822,1421850129135191917,0,2080,1984,2368,2048,4080,4080,0,0
1421850129185195923,3823,1421850129185195923,0,2080,1984,2368,2048,4080,4080,0,0
1421850129235198021,3824,1421850129235198021,0,2080,1984,2368,2048,4080,4080,0,0
1421850129285202026,3825,1421850129285202026,0,2080,1984,2368,2048,4080,4080,0,0
1421850129335206032,3826,1421850129335206032,0,2080,1984,2368,2048,4080,4080,0,0
1421850129385210037,3827,1421850129385210037,0,2080,1984,2368,2048,4080,4080,0,0
1421850129435214043,3828,1421850129435214043,0,2080,1984,2368,2048,4080,4080,0,0
1421850129485218048,3829,1421850129485218048,0,2080,1984,2368,2048,4080,4080,0,0
1421850129535222054,3830,1421850129535222054,0,2080,1984,2368,2048,4080,4080,0,0
1421850129585223913,3831,1421850129585223913,0,2080,1984,2368,2048,4080,4080,0,0
1421850129635227919,3832,1421850129635227919,0,2080,1984,2368,2048,4080,4080,0,0
1421850129685231924,3833,1421850129685231924,0,2080,1984,2368,2048,4080,4080,0,0
1421850129735237837,3834,1421850129735237837,0,2080,1984,2368,2048,4080,4080,0,0
1421850129785245895,3835,1421850129785245895,0,2080,1984,2368,2048,4080,4080,0,0
1421850129835253954,3836,1421850129835253954,0,2080,1984,2368,2048,4080,4080,0,0
1421850129885262012,3837,1421850129885262012,0,2080,1984,2368,2048,4080,4080,0,0
1421850129935269833,3838,1421850129935269833,0,2080,1984,2368,2048,4080,4080,0,0
1421850129985277891,3839,1421850129985277891,0,2080,1984,2368,2048,4080,4080,0,0
1421850130035285950,3840,1421850130035285950,0,2080,1984,2368,2048,4080,4080,0,0
1421850130085291862,3841,1421850130085291862,0,2080,1984,2368,2048,4080,4080,0,0
1421850130135299921,3842,1421850130135299921,0,2080,1984,2368,2048,4080,4080,0,0
1421850130185307980,3843,1421850130185307980,0,2080,1984,2368,2048,4080,4080,0,0
1421850130235316038,3844,1421850130235316038,0,2080,1984,2368,2048,4080,4080,0,0
1421850130285323858,3845,1421850130285323858,0,2080,1984,2368,2048,4080,4080,0,0
1421850130335331917,3846,1421850130335331917,0,2080,1984,2368,2048,4080,4080,0,0
1421850130385337830,3847,1421850130385337830,0,2080,1984,2368,2048,4080,4080,0,0
1421850130435345888,3848,1421850130435345888,0,2080,1984,2368,2048,4080,4080,0,0
1421850130485353947,3849,1421850130485353947,0,2080,1984,2368,2048,4080,4080,0,0
1421850130535362005,3850,1421850130535362005,0,2080,1984,2368,2048,4080,4080,0,0
1421850130585369825,3851,1421850130585369825,0,2080,1984,2368,2048,4080,4080,0,0
1421850130635377884,3852,1421850130635377884,0,2080,1984,2368,2048,4080,4080,0,0
1421850130685385942,3853,1421850130685385942,0,2080,1984,2368,2048,4080,4080,0,0
1421850130735391855,3854,1421850130735391855,0,2080,1984,2368,2048,4080,4080,0,0
1421850130785399914,3855,1421850130785399914,0,2080,1984,2352,2048,4080,4080,0,0
1421850130835407972,3856,1421850130835407972,0,2080,1984,2352,2048,4080,4080,0,0
1421850130885416031,3857,1421850130885416031,0,2080,1984,2352,2048,4080,4080,0,0
1421850130935423851,3858,1421850130935423851,0,2080,1984,2352,2048,4080,4080,0,0
1421850130985431910,3859,1421850130985431910,0,2080,1984,2352,2048,4080,4080,0,0
1421850131035437822,3860,1421850131035437822,0,2080,1984,2352,2048,4080,4080,0,0
1421850131085445881,3861,1421850131085445881,0,2080,1984,2352,2048,4080,4080,0,0
1421850131135453939,3862,1421850131135453939,0,2080,1984,2352,2048,4080,4080,0,0
1421850131185461998,3863,1421850131185461998,0,2080,1984,2320,2048,4080,4080,0,0
1421850131235469818,3864,1421850131235469818,0,2080,1984,2304,2048,4080,4080,0,0
1421850131285477877,3865,1421850131285477877,0,2080,1984,2304,2048,4080,4080,0,0
1421850131335485935,3866,1421850131335485935,0,2080,1984,2304,2048,4080,4080,0,0
1421850131385491848,3867,1421850131385491848,0,2080,1984,2304,2048,4080,4080,0,0
1421850131435499907,3868,1421850131435499907,0,2080,1984,2304,2048,4080,4080,0,0
1421850131485507965,3869,1421850131485507965,0,2080,1984,2304,2048,4080,4080,0,0
1421850131535516024,3870,1421850131535516024,0,2080,1984,2304,2048,4080,4080,0,0
1421850131585523844,3871,1421850131585523844,0,2080,1984,2304,2048,4080,4080,0,0
1421850131635531902,3872,1421850131635531902,0,2080,1984,2304,2048,4080,4080,0,0
1421850131685538054,3873,1421850131685538054,0,2080,1984,2304,2048,4080,4080,0,0
1421850131735545874,3874,1421850131735545874,0,2080,1984,2304,2048,4080,4080,0,0
1421850131785552025,3875,1421850131785552025,0,2080,1984,2304,2048,4080,4080,0,0
1421850131835557938,3876,1421850131835557938,0,2080,1984,2304,2048,4080,4080,0,0
1421850131885563850,3877,1421850131885563850,0,2080,1984,2304,2048,4080,4080,0,0
1421850131935570002,3878,1421850131935570002,0,2080,1984,2304,2048,4080,4080,0,0
1421850131985575914,3879,1421850131985575914,0,2080,1984,2304,2048,4080,4080,0,0
1421850132035581827,3880,1421850132035581827,0,2080,1984,2304,2048,4080,4080,0,0
1421850132085587978,3881,1421850132085587978,0,2080,1984,2304,2048,4080,4080,0,0
1421850132135596037,3882,1421850132135596037,0,2080,1984,2304,2048,4080,4080,0,0
1421850132185601950,3883,1421850132185601950,0,2080,1984,2320,2048,4080,4080,0,0
1421850132235607862,3884,1421850132235607862,0,2080,1984,2384,2048,4080,4080,0,0
1421850132285614014,3885,1421850132285614014,0,2080,1984,2384,2048,4080,4080,0,0
1421850132335619926,3886,1421850132335619926,0,2080,1984,2384,2048,4080,4080,0,0
1421850132385625839,3887,1421850132385625839,0,2080,1984,2384,2048,4080,4080,0,0
1421850132435631990,3888,1421850132435631990,0,2080,1984,2384,2048,4080,4080,0,0
1421850132485637903,3889,1421850132485637903,0,2080,1984,2384,2048,4080,4080,0,0
1421850132535645962,3890,1421850132535645962,0,2080,1984,2384,2048,4080,4080,0,0
1421850132585651875,3891,1421850132585651875,0,2080,1984,2384,2048,4080,4080,0,0
1421850132635658026,3892,1421850132635658026,0,2080,1984,2384,2048,4080,4080,0,0
1421850132685663939,3893,1421850132685663939,0,2080,1984,2384,2048,4080,4080,0,0
1421850132735669851,3894,1421850132735669851,0,2080,1984,2384,2048,4080,4080,0,0
1421850132785676003,3895,1421850132785676003,0,2080,1984,2384,2048,4080,4080,0,0
1421850132835681915,3896,1421850132835681915,0,2080,1984,2384,2048,4080,4080,0,0
1421850132885687828,3897,1421850132885687828,0,2080,1984,2384,2048,4080,4080,0,0
1421850132935695887,3898,1421850132935695887,0,2080,1984,2384,2048,4080,4080,0,0
1421850132985702038,3899,1421850132985702038,0,2080,1984,2368,2048,4080,4080,0,0
1421850133035707951,3900,1421850133035707951,0,2080,1984,2320,2048,4080,4080,0,0
1421850133085713863,3901,1421850133085713863,0,2080,1984,2320,2048,4080,4080,0,0
1421850133135720015,3902,1421850133135720015,0,2080,1984,2320,2048,4080,4080,0,0
1421850133185725927,3903,1421850133185725927,0,2080,1984,2320,2048,4080,4080,0,0
1421850133235731840,3904,1421850133235731840,0,2080,1984,2320,2048,4080,4080,0,0
1421850133285737991,3905,1421850133285737991,0,2080,1984,2320,2048,4080,4080,0,0
1421850133335746050,3906,1421850133335746050,0,2080,1984,2320,2048,4080,4080,0,0
1421850133385751963,3907,1421850133385751963,0,2080,1984,2352,2048,4080,4080,0,0
1421850133435757875,3908,1421850133435757875,0,2080,1984,2368,2048,4080,4080,0,0
1421850133485764027,3909,1421850133485764027,0,2080,1984,2368,2048,4080,4080,0,0
1421850133535769939,3910,1421850133535769939,0,2080,1984,2368,2048,4080,4080,0,0
1421850133585775852,3911,1421850133585775852,0,2080,1984,2368,2048,4080,4080,0,0
1421850133635782003,3912,1421850133635782003,0,2080,1984,2368,2048,4080,4080,0,0
1421850133685787916,3913,1421850133685787916,0,2080,1984,2368,2048,4080,4080,0,0
1421850133735795975,3914,1421850133735795975,0,2080,1984,2368,2048,4080,4080,0,0
1421850133785801888,3915,1421850133785801888,0,2080,1984,2368,2048,4080,4080,0,0
1421850133835808039,3916,1421850133835808039,0,2080,1984,2368,2048,4080,4080,0,0
1421850133885813951,3917,1421850133885813951,0,2080,1984,2368,2048,4080,4080,0,0
1421850133935819864,3918,1421850133935819864,0,2080,1984,2368,2048,4080,4080,0,0
1421850133985826015,3919,1421850133985826015,0,2080,1984,2352,2048,4080,4080,0,0
1421850134035831928,3920,1421850134035831928,0,2080,1984,2352,2048,4080,4080,0,0
1421850134085837841,3921,1421850134085837841,0,2080,1984,2352,2048,4080,4080,0,0
1421850134135845900,3922,1421850134135845900,0,2080,1984,2352,2048,4080,4080,0,0
1421850134185852051,3923,1421850134185852051,0,2080,1984,2352,2048,4080,4080,0,0
1421850134235857964,3924,1421850134235857964,0,2080,1984,2352,2048,4080,4080,0,0
1421850134285863876,3925,1421850134285863876,0,2080,1984,2352,2048,4080,4080,0,0
1421850134335870028,3926,1421850134335870028,0,2080,1984,2352,2048,4080,4080,0,0
1421850134385875940,3927,1421850134385875940,0,2080,1984,2352,2048,4080,4080,0,0
1421850134435881853,3928,1421850134435881853,0,2080,1984,2288,2048,4080,4080,0,0
1421850134485888004,3929,1421850134485888004,0,2080,1984,2288,2048,4080,4080,0,0
1421850134535895824,3930,1421850134535895824,0,2080,1984,2288,2048,4080,4080,0,0
1421850134585901976,3931,1421850134585901976,0,2080,1984,2288,2048,4080,4080,0,0
1421850134635907888,3932,1421850134635907888,0,2080,1984,2288,2048,4080,4080,0,0
1421850134685914040,3933,1421850134685914040,0,2080,1984,2288,2048,4080,4080,0,0
1421850134735919952,3934,1421850134735919952,0,2080,1984,2288,2048,4080,4080,0,0
1421850134785925865,3935,1421850134785925865,0,2080,1984,2288,2048,4080,4080,0,0
1421850134835932016,3936,1421850134835932016,0,2080,1984,2288,2048,4080,4080,0,0
1421850134885937929,3937,1421850134885937929,0,2080,1984,2288,2048,4080,4080,0,0
1421850134935945988,3938,1421850134935945988,0,2080,1984,2288,2048,4080,4080,0,0
1421850134985951900,3939,1421850134985951900,0,2080,1984,2288,2048,4080,4080,0,0
1421850135035958052,3940,1421850135035958052,0,2080,1984,2288,2048,4080,4080,0,0
1421850135085963964,3941,1421850135085963964,0,2080,1984,2288,2048,4080,4080,0,0
1421850135135969877,3942,1421850135135969877,0,2080,1984,2288,2048,4080,4080,0,0
1421850135185976028,3943,1421850135185976028,0,2080,1984,2304,2048,4080,4080,0,0
1421850135235981941,3944,1421850135235981941,0,2080,1984,2336,2048,4080,4080,0,0
1421850135285987854,3945,1421850135285987854,0,2080,1984,2368,2048,4080,4080,0,0
1421850135335995913,3946,1421850135335995913,0,2080,1984,2368,2048,4080,4080,0,0
1421850135386001825,3947,1421850135386001825,0,2080,1984,2368,2048,4080,4080,0,0
1421850135436007977,3948,1421850135436007977,0,2080,1984,2368,2048,4080,4080,0,0
1421850135486013889,3949,1421850135486013889,0,2080,1984,2368,2048,4080,4080,0,0
1421850135536020041,3950,1421850135536020041,0,2080,1984,2368,2048,4080,4080,0,0
1421850135586025953,3951,1421850135586025953,0,2080,1984,2368,2048,4080,4080,0,0
1421850135636031866,3952,1421850135636031866,0,2080,1984,2368,2048,4080,4080,0,0
1421850135686038017,3953,1421850135686038017,0,2080,1984,2368,2048,4080,4080,0,0
1421850135736045837,3954,1421850135736045837,0,2080,1984,2368,2048,4080,4080,0,0
1421850135786053896,3955,1421850135786053896,0,2080,1984,2368,2048,4080,4080,0,0
1421850135836063862,3956,1421850135836063862,0,2080,1984,2368,2048,4080,4080,0,0
1421850135886071920,3957,1421850135886071920,0,2080,1984,2368,2048,4080,4080,0,0
1421850135936079979,3958,1421850135936079979,0,2080,1984,2368,2048,4080,4080,0,0
1421850135986088037,3959,1421850135986088037,0,2080,1984,2368,2048,4080,4080,0,0
1421850136036095858,3960,1421850136036095858,0,2080,1984,2368,2048,4080,4080,0,0
1421850136086103916,3961,1421850136086103916,0,2080,1984,2368,2048,4080,4080,0,0
1421850136136113882,3962,1421850136136113882,0,2080,1984,2368,2048,4080,4080,0,0
1421850136186121941,3963,1421850136186121941,0,2080,1984,2336,2048,4080,4080,0,0
1421850136236129999,3964,1421850136236129999,0,2080,1984,2336,2048,4080,4080,0,0
1421850136286137819,3965,1421850136286137819,0,2080,1984,2336,2048,4080,4080,0,0
1421850136336145878,3966,1421850136336145878,0,2080,1984,2320,2048,4080,4080,0,0
1421850136386153936,3967,1421850136386153936,0,2080,1984,2304,2048,4080,4080,0,0
1421850136436163902,3968,1421850136436163902,0,2080,1984,2304,2048,4080,4080,0,0
1421850136486171961,3969,1421850136486171961,0,2080,1984,2304,2048,4080,4080,0,0
1421850136536180019,3970,1421850136536180019,0,2080,1984,2304,2048,4080,4080,0,0
1421850136586187840,3971,1421850136586187840,0,2080,1984,2304,2048,4080,4080,0,0
1421850136636195898,3972,1421850136636195898,0,2080,1984,2304,2048,4080,4080,0,0
1421850136686203957,3973,1421850136686203957,0,2080,1984,2304,2048,4080,4080,0,0
1421850136736213923,3974,1421850136736213923,0,2080,1984,2304,2048,4080,4080,0,0
1421850136786221981,3975,1421850136786221981,0,2080,1984,2368,2048,4080,4080,0,0
1421850136836230040,3976,1421850136836230040,0,2080,1984,2368,2048,4080,4080,0,0
1421850136886237860,3977,1421850136886237860,0,2080,1984,2368,2048,4080,4080,0,0
1421850136936245918,3978,1421850136936245918,0,2080,1984,2368,2048,4080,4080,0,0
1421850136986253977,3979,1421850136986253977,0,2080,1984,2368,2048,4080,4080,0,0
1421850137036263943,3980,1421850137036263943,0,2080,1984,2368,2048,4080,4080,0,0
1421850137086272001,3981,1421850137086272001,0,2080,1984,2368,2048,4080,4080,0,0
1421850137136279821,3982,1421850137136279821,0,2080,1984,2368,2048,4080,4080,0,0
1421850137186287880,3983,1421850137186287880,0,2080,1984,2368,2048,4080,4080,0,0
1421850137236295938,3984,1421850137236295938,0,2080,1984,2368,2048,4080,4080,0,0
1421850137286303997,3985,1421850137286303997,0,2080,1984,2368,2048,4080,4080,0,0
1421850137336313963,3986,1421850137336313963,0,2080,1984,2368,2048,4080,4080,0,0
1421850137386322021,3987,1421850137386322021,0,2080,1984,2352,2048,4080,4080,0,0
1421850137436329842,3988,1421850137436329842,0,2080,1984,2352,2048,4080,4080,0,0
1421850137486337900,3989,1421850137486337900,0,2080,1984,2352,2048,4080,4080,0,0
1421850137536345959,3990,1421850137536345959,0,2080,1984,2352,2048,4080,4080,0,0
1421850137586354017,3991,1421850137586354017,0,2080,1984,2352,2048,4080,4080,0,0
1421850137636363983,3992,1421850137636363983,0,2080,1984,2352,2048,4080,4080,0,0
1421850137686372042,3993,1421850137686372042,0,2080,1984,2336,2048,4080,4080,0,0
1421850137736393929,3994,1421850137736393929,0,2080,1984,2336,2048,4080,4080,0,0
