%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28,field.data29,field.data30,field.data31,field.data32,field.data33,field.data34,field.data35,field.data36,field.data37,field.data38,field.data39,field.data40,field.data41,field.data42
1421850804883097887,12368,1421850804883097887,0,-0.037109375,-0.00390625,-0.193359375,0.0,-0.033203125,0.025390625,-0.458984375,0.0,-0.384765625,0.0,7.0,0.0,0.0,0.15234375,0.109375,-0.00390625,-0.072265625,-0.115234375,-0.109375,-0.03125,-0.017578125,-0.046875,0.15625,0.111328125,0.115234375,0.0234375,-0.02734375,-0.0078125,0.001953125,0.025390625,5.935546875,0.119140625,0.029296875,-0.02734375,5.552734375,0.00390625,0.005859375,-0.00390625,0.005859375,0.0,0.0,0.0,0.0
1421850804888098001,12369,1421850804888098001,0,-0.037109375,-0.00390625,-0.193359375,0.0,-0.205078125,-0.099609375,-0.2421875,0.0,-0.384765625,0.0,7.0,0.0,0.0,0.15234375,0.109375,-0.00390625,-0.072265625,-0.115234375,-0.109375,-0.03125,-0.017578125,-0.048828125,0.15625,0.111328125,0.115234375,0.0234375,-0.02734375,-0.0078125,0.0,0.025390625,5.935546875,0.119140625,0.029296875,-0.02734375,5.552734375,0.00390625,0.005859375,-0.00390625,0.005859375,0.0,0.0,0.0,0.0
1421850804893100023,12370,1421850804893100023,0,-0.037109375,-0.00390625,-0.193359375,0.0,0.005859375,0.029296875,-0.4296875,0.0,-0.384765625,0.0,7.0,0.0,0.0,0.15234375,0.109375,-0.00390625,-0.072265625,-0.115234375,-0.109375,-0.03125,-0.017578125,-0.048828125,0.15625,0.111328125,0.115234375,0.0234375,-0.02734375,-0.0078125,0.001953125,0.025390625,5.935546875,0.119140625,0.029296875,-0.02734375,5.552734375,0.00390625,0.005859375,-0.00390625,0.005859375,0.0,0.0,0.0,0.0
1421850804903100014,12372,1421850804903100014,0,-0.037109375,-0.00390625,-0.193359375,0.0,-0.06640625,-0.0859375,-0.4375,0.0,-0.384765625,0.0,7.0,0.0,0.0,0.15234375,0.109375,-0.00390625,-0.072265625,-0.115234375,-0.109375,-0.029296875,-0.017578125,-0.052734375,0.15625,0.111328125,0.115234375,0.0234375,-0.02734375,-0.0078125,0.001953125,0.025390625,5.935546875,0.119140625,0.029296875,-0.02734375,5.552734375,0.00390625,0.005859375,-0.00390625,0.005859375,0.0,0.0,0.0,0.0
1421850804908102036,12373,1421850804908102036,0,-0.037109375,-0.00390625,-0.193359375,0.0,0.068359375,0.0,-0.564453125,0.0,-0.384765625,0.0,7.0,0.0,0.0,0.15234375,0.109375,-0.00390625,-0.072265625,-0.115234375,-0.109375,-0.029296875,-0.017578125,-0.0546875,0.15625,0.111328125,0.115234375,0.0234375,-0.02734375,-0.0078125,0.001953125,0.025390625,5.935546875,0.119140625,0.029296875,-0.02734375,5.552734375,0.00390625,0.005859375,-0.00390625,0.005859375,0.0,0.0,0.0,0.0
1421850804913101912,12374,1421850804913101912,0,-0.037109375,-0.00390625,-0.193359375,0.0,-0.00390625,-0.0703125,-0.505859375,0.0,-0.384765625,0.0,7.0,0.0,0.0,0.15234375,0.109375,-0.00390625,-0.072265625,-0.115234375,-0.109375,-0.029296875,-0.017578125,-0.056640625,0.15625,0.111328125,0.115234375,0.0234375,-0.02734375,-0.0078125,0.001953125,0.025390625,5.935546875,0.119140625,0.029296875,-0.02734375,5.552734375,0.00390625,0.005859375,-0.00390625,0.005859375,0.0,0.0,0.0,0.0
1421850804918103933,12375,1421850804918103933,0,-0.0390625,-0.00390625,-0.193359375,0.0,-0.0234375,-0.001953125,-0.60546875,0.0,-0.384765625,0.0,7.0,0.0,0.0,0.15234375,0.109375,-0.00390625,-0.072265625,-0.115234375,-0.109375,-0.029296875,-0.017578125,-0.05859375,0.15625,0.111328125,0.115234375,0.0234375,-0.02734375,-0.0078125,0.001953125,0.025390625,5.935546875,0.119140625,0.029296875,-0.02734375,5.552734375,0.00390625,0.005859375,-0.00390625,0.005859375,0.0,0.0,0.0,0.0
1421850804923104048,12376,1421850804923104048,0,-0.0390625,-0.00390625,-0.193359375,0.0,-0.185546875,-0.06640625,-0.4296875,0.0,-0.384765625,0.0,7.0,0.0,0.0,0.15234375,0.109375,-0.00390625,-0.072265625,-0.115234375,-0.109375,-0.02734375,-0.017578125,-0.060546875,0.15625,0.111328125,0.115234375,0.0234375,-0.02734375,-0.0078125,0.0,0.025390625,5.935546875,0.119140625,0.029296875,-0.02734375,5.552734375,0.00390625,0.005859375,-0.00390625,0.005859375,0.0,0.0,0.0,0.0
1421850804928105831,12377,1421850804928105831,0,-0.0390625,-0.001953125,-0.193359375,0.0,0.005859375,-0.02734375,-0.564453125,0.0,-0.384765625,0.0,7.0,0.0,0.0,0.154296875,0.109375,-0.00390625,-0.072265625,-0.115234375,-0.109375,-0.02734375,-0.017578125,-0.0625,0.15625,0.111328125,0.115234375,0.0234375,-0.02734375,-0.0078125,0.001953125,0.025390625,5.935546875,0.119140625,0.029296875,-0.02734375,5.552734375,0.00390625,0.005859375,-0.00390625,0.005859375,0.0,0.0,0.0,0.0
1421850804933105946,12378,1421850804933105946,0,-0.0390625,-0.001953125,-0.193359375,0.0,-0.19921875,-0.046875,-0.419921875,0.0,-0.384765625,0.0,7.0,0.0,0.0,0.154296875,0.109375,-0.00390625,-0.072265625,-0.115234375,-0.109375,-0.02734375,-0.017578125,-0.064453125,0.158203125,0.11328125,0.115234375,0.0234375,-0.02734375,-0.0078125,0.001953125,0.025390625,5.935546875,0.119140625,0.029296875,-0.02734375,5.552734375,0.00390625,0.005859375,-0.00390625,0.005859375,0.0,0.0,0.0,0.0
