%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1421850640308949947,351126,1421850640308949947,fcu,-0.00885953194939,-0.0136809341907,-0.718233250772,0.695611485111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19504054391,-0.156817833292,-0.0259181393921,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.30411,0.07848,9.76095,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1421850640310950041,351127,1421850640310950041,fcu,-0.00867742098691,-0.0138689667451,-0.718229644498,0.695613780693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244258828817,0.0688532389912,0.0248709418409,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.30411,0.07848,9.76095,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1421850640326956034,351135,1421850640326956034,fcu,-0.00830998374999,-0.0141223820095,-0.718164075511,0.695680862998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0746128255228,0.171740398396,-0.000785398163397,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.3924,-0.08829,9.95715,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1421850640328955889,351136,1421850640328955889,fcu,-0.00849408269282,-0.0140577396509,-0.718165282313,0.695678702991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.154461638801,-0.186139364725,0.0332485222505,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.3924,-0.08829,9.95715,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1421850640340960026,351142,1421850640340960026,fcu,-0.00855676248213,-0.0141184406767,-0.718164029764,0.695677998647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.305781684949,-0.0856083998103,0.0102101761242,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.41202,-0.15696,10.09449,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1421850640342959881,351143,1421850640342959881,fcu,-0.00861624517747,-0.0140565209513,-0.718104547069,0.695739918373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.243473430653,-0.142157067575,0.0107337748998,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.28449,0.11772,9.78057,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1421850640348961830,351146,1421850640348961830,fcu,-0.00837786370963,-0.014429095773,-0.718218485359,0.695617581638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104981554507,0.220173285139,-0.0510508806208,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.36297,-0.13734,10.02582,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1421850640350961924,351147,1421850640350961924,fcu,-0.00849677514925,-0.0143052259656,-0.718099573919,0.695741451445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0950331777711,0.0827286065445,0.0376991118431,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.36297,-0.13734,10.02582,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1421850640362965822,351153,1421850640362965822,fcu,-0.00837534522975,-0.0144305577663,-0.718097066249,0.695742923815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.196611340237,0.00628318530718,0.128543499409,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.36297,-0.10791,9.91791,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1421850640364965916,351154,1421850640364965916,fcu,-0.00855624708177,-0.0142433066292,-0.718040101987,0.695803370781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0463384916404,-0.139277274309,-0.0319395253115,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.32373,0.07848,9.80019,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
