%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28,field.data29,field.data30,field.data31,field.data32,field.data33,field.data34,field.data35,field.data36,field.data37,field.data38,field.data39,field.data40,field.data41,field.data42
1421850125899940014,0,1421850125899940014,0,-0.044921875,-0.01171875,0.19140625,0.0,-0.03125,-0.01953125,-0.15625,1.0,0.3828125,0.0,2.0,0.0,0.0,0.041015625,0.0703125,-0.00390625,-0.056640625,-0.1015625,-0.1015625,-0.04296875,0.013671875,-0.05078125,0.04296875,0.072265625,0.001953125,-0.005859375,-0.001953125,0.005859375,0.0,0.03125,5.8984375,0.0,0.0,0.0,6.28125,-0.005859375,0.00390625,0.00390625,-0.0078125,0.0,0.0,0.0,0.0
1421850125904939890,1,1421850125904939890,0,-0.044921875,-0.01171875,0.19140625,0.0,-0.0703125,0.017578125,-0.099609375,1.0,0.3828125,0.0,2.0,0.0,0.0,0.041015625,0.0703125,-0.00390625,-0.056640625,-0.1015625,-0.1015625,-0.04296875,0.013671875,-0.05078125,0.04296875,0.072265625,0.001953125,-0.005859375,-0.001953125,0.005859375,0.0,0.029296875,5.8984375,0.0,0.0,0.0,6.28125,-0.005859375,0.00390625,0.00390625,-0.0078125,0.0,0.0,0.0,0.0
1421850125909940004,2,1421850125909940004,0,-0.044921875,-0.01171875,0.19140625,0.0,0.046875,0.01171875,-0.205078125,1.0,0.3828125,0.0,2.0,0.0,0.0,0.041015625,0.072265625,-0.00390625,-0.056640625,-0.1015625,-0.1015625,-0.04296875,0.013671875,-0.05078125,0.04296875,0.07421875,0.001953125,-0.005859375,-0.001953125,0.005859375,0.0,0.03125,5.8984375,0.0,0.0,0.0,6.28125,-0.005859375,0.00390625,0.00390625,-0.0078125,0.0,0.0,0.0,0.0
1421850125914942026,3,1421850125914942026,0,-0.046875,-0.01171875,0.19140625,0.0,-0.044921875,-0.044921875,-0.087890625,1.0,0.3828125,0.0,2.0,0.0,0.0,0.041015625,0.072265625,-0.00390625,-0.056640625,-0.1015625,-0.1015625,-0.04296875,0.015625,-0.05078125,0.04296875,0.07421875,0.001953125,-0.005859375,-0.001953125,0.005859375,0.0,0.029296875,5.8984375,0.0,0.0,0.0,6.28125,-0.005859375,0.00390625,0.00390625,-0.0078125,0.0,0.0,0.0,0.0
1421850125919941902,4,1421850125919941902,0,-0.046875,-0.01171875,0.19140625,0.0,-0.09375,-0.09375,-0.01953125,1.0,0.3828125,0.0,2.0,0.0,0.0,0.041015625,0.072265625,-0.00390625,-0.056640625,-0.1015625,-0.1015625,-0.04296875,0.015625,-0.048828125,0.04296875,0.07421875,0.001953125,-0.005859375,-0.001953125,0.005859375,0.0,0.029296875,5.8984375,0.0,0.0,0.0,6.28125,-0.005859375,0.00390625,0.00390625,-0.0078125,0.0,0.0,0.0,0.0
1421850125924942017,5,1421850125924942017,0,-0.046875,-0.01171875,0.19140625,0.0,0.029296875,0.02734375,-0.20703125,1.0,0.3828125,0.0,2.0,0.0,0.0,0.041015625,0.072265625,-0.00390625,-0.056640625,-0.1015625,-0.1015625,-0.04296875,0.015625,-0.048828125,0.04296875,0.07421875,0.001953125,-0.005859375,-0.001953125,0.005859375,0.0,0.029296875,5.8984375,0.0,0.0,0.0,6.28125,-0.005859375,0.00390625,0.00390625,-0.0078125,0.0,0.0,0.0,0.0
1421850125959944010,12,1421850125959944010,0,-0.046875,-0.01171875,0.19140625,0.0,0.0,0.05859375,-0.255859375,1.0,0.3828125,0.0,2.0,0.0,0.0,0.0390625,0.07421875,-0.00390625,-0.056640625,-0.1015625,-0.1015625,-0.041015625,0.015625,-0.05078125,0.04296875,0.07421875,0.001953125,-0.005859375,-0.001953125,0.005859375,0.0,0.029296875,5.8984375,0.0,0.0,0.0,6.28125,-0.005859375,0.00390625,0.00390625,-0.0078125,0.0,0.0,0.0,0.0
1421850125964946032,13,1421850125964946032,0,-0.046875,-0.01171875,0.19140625,0.0,-0.107421875,-0.056640625,-0.0390625,1.0,0.3828125,0.0,2.0,0.0,0.0,0.0390625,0.07421875,-0.00390625,-0.056640625,-0.1015625,-0.1015625,-0.0390625,0.015625,-0.05078125,0.04296875,0.07421875,0.001953125,-0.005859375,-0.001953125,0.005859375,0.0,0.029296875,5.8984375,0.0,0.0,0.0,6.28125,-0.005859375,0.00390625,0.00390625,-0.0078125,0.0,0.0,0.0,0.0
1421850125969945908,14,1421850125969945908,0,-0.046875,-0.01171875,0.19140625,0.0,-0.009765625,0.1015625,-0.19921875,1.0,0.3828125,0.0,2.0,0.0,0.0,0.0390625,0.07421875,-0.00390625,-0.056640625,-0.1015625,-0.1015625,-0.0390625,0.015625,-0.05078125,0.04296875,0.07421875,0.001953125,-0.005859375,-0.001953125,0.005859375,0.0,0.02734375,5.8984375,0.0,0.0,0.0,6.28125,-0.005859375,0.00390625,0.00390625,-0.0078125,0.0,0.0,0.0,0.0
1421850125974946022,15,1421850125974946022,0,-0.046875,-0.01171875,0.19140625,0.0,-0.138671875,-0.03515625,-0.099609375,1.0,0.3828125,0.0,2.0,0.0,0.0,0.0390625,0.07421875,-0.00390625,-0.056640625,-0.1015625,-0.1015625,-0.0390625,0.015625,-0.05078125,0.04296875,0.07421875,0.001953125,-0.005859375,-0.001953125,0.005859375,0.0,0.029296875,5.8984375,0.0,0.0,0.0,6.28125,-0.005859375,0.00390625,0.00390625,-0.0078125,0.0,0.0,0.0,0.0
