%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28,field.data29,field.data30,field.data31,field.data32,field.data33,field.data34,field.data35,field.data36,field.data37,field.data38,field.data39,field.data40,field.data41,field.data42
1421851407682423830,18047,1421851407682423830,0,-0.046875,0.015625,-0.06640625,0.0,-0.17578125,0.02734375,-0.421875,1.0,6.15234375,0.0,3.0,0.0,0.0,0.03515625,0.123046875,0.0,-0.01171875,-0.115234375,-0.107421875,-0.02734375,-0.04296875,0.001953125,0.03515625,0.126953125,-0.00390625,-0.00390625,-0.001953125,-0.0078125,-0.013671875,0.046875,0.12890625,0.0,0.0,0.0,6.28125,0.00390625,0.00390625,0.001953125,-0.0078125,0.0,0.0,0.0,0.0
1421851407687425852,18048,1421851407687425852,0,-0.046875,0.015625,-0.06640625,0.0,-0.2421875,-0.087890625,-0.259765625,1.0,6.15234375,0.0,3.0,0.0,0.0,0.03515625,0.123046875,0.0,-0.01171875,-0.115234375,-0.107421875,-0.02734375,-0.04296875,0.0,0.03515625,0.126953125,-0.00390625,-0.00390625,-0.001953125,-0.0078125,-0.013671875,0.048828125,0.12890625,0.0,0.0,0.0,6.28125,0.00390625,0.00390625,0.001953125,-0.0078125,0.0,0.0,0.0,0.0
1421851407692425966,18049,1421851407692425966,0,-0.046875,0.015625,-0.06640625,0.0,-0.24609375,-0.03515625,-0.28125,1.0,6.15234375,0.0,3.0,0.0,0.0,0.033203125,0.123046875,0.0,-0.01171875,-0.115234375,-0.107421875,-0.02734375,-0.04296875,-0.001953125,0.03515625,0.126953125,-0.00390625,-0.00390625,-0.001953125,-0.0078125,-0.013671875,0.046875,0.12890625,0.0,0.0,0.0,6.28125,0.00390625,0.00390625,0.001953125,-0.0078125,0.0,0.0,0.0,0.0
1421851407702430010,18051,1421851407702430010,0,-0.046875,0.015625,-0.06640625,0.0,-0.109375,-0.080078125,-0.439453125,1.0,6.15234375,0.0,3.0,0.0,0.0,0.033203125,0.123046875,0.0,-0.01171875,-0.115234375,-0.107421875,-0.02734375,-0.044921875,-0.005859375,0.03515625,0.126953125,-0.00390625,-0.00390625,-0.001953125,-0.0078125,-0.013671875,0.046875,0.12890625,0.0,0.0,0.0,6.28125,0.00390625,0.00390625,0.001953125,-0.0078125,0.0,0.0,0.0,0.0
1421851407707429886,18052,1421851407707429886,0,-0.046875,0.015625,-0.06640625,0.0,-0.208984375,-0.080078125,-0.28125,1.0,6.15234375,0.0,3.0,0.0,0.0,0.033203125,0.123046875,0.0,-0.01171875,-0.115234375,-0.107421875,-0.02734375,-0.044921875,-0.0078125,0.03515625,0.126953125,-0.00390625,-0.00390625,-0.001953125,-0.0078125,-0.013671875,0.046875,0.12890625,0.0,0.0,0.0,6.28125,0.00390625,0.00390625,0.001953125,-0.0078125,0.0,0.0,0.0,0.0
1421851407712431908,18053,1421851407712431908,0,-0.046875,0.015625,-0.06640625,0.0,-0.13671875,-0.0078125,-0.431640625,1.0,6.15234375,0.0,3.0,0.0,0.0,0.033203125,0.123046875,0.0,-0.01171875,-0.115234375,-0.107421875,-0.02734375,-0.044921875,-0.009765625,0.03515625,0.126953125,-0.00390625,-0.00390625,-0.001953125,-0.0078125,-0.013671875,0.046875,0.12890625,0.0,0.0,0.0,6.28125,0.00390625,0.00390625,0.001953125,-0.0078125,0.0,0.0,0.0,0.0
1421851407717432022,18054,1421851407717432022,0,-0.046875,0.015625,-0.068359375,0.0,-0.228515625,-0.068359375,-0.3203125,1.0,6.1484375,0.0,3.0,0.0,0.0,0.033203125,0.123046875,0.0,-0.01171875,-0.115234375,-0.107421875,-0.02734375,-0.044921875,-0.01171875,0.033203125,0.125,-0.00390625,-0.00390625,-0.001953125,-0.0078125,-0.013671875,0.046875,0.1328125,0.0,0.0,0.0,6.28125,0.00390625,0.00390625,0.001953125,-0.0078125,0.0,0.0,0.0,0.0
1421851407722434044,18055,1421851407722434044,0,-0.046875,0.015625,-0.068359375,0.0,-0.109375,-0.025390625,-0.51953125,1.0,6.1484375,0.0,3.0,0.0,0.0,0.033203125,0.123046875,-0.001953125,-0.01171875,-0.115234375,-0.107421875,-0.02734375,-0.044921875,-0.013671875,0.033203125,0.125,-0.00390625,-0.00390625,-0.001953125,-0.0078125,-0.013671875,0.046875,0.1328125,0.0,0.0,0.0,6.28125,0.00390625,0.00390625,0.001953125,-0.0078125,0.0,0.0,0.0,0.0
1421851407727435827,18056,1421851407727435827,0,-0.044921875,0.015625,-0.068359375,0.0,-0.255859375,-0.046875,-0.33984375,1.0,6.1484375,0.0,3.0,0.0,0.0,0.033203125,0.123046875,-0.001953125,-0.01171875,-0.115234375,-0.107421875,-0.02734375,-0.044921875,-0.015625,0.033203125,0.125,-0.00390625,-0.00390625,-0.001953125,-0.0078125,-0.013671875,0.046875,0.1328125,0.0,0.0,0.0,6.28125,0.00390625,0.00390625,0.001953125,-0.0078125,0.0,0.0,0.0,0.0
1421851407732435942,18057,1421851407732435942,0,-0.044921875,0.013671875,-0.068359375,0.0,-0.224609375,-0.0625,-0.388671875,1.0,6.1484375,0.0,3.0,0.0,0.0,0.033203125,0.123046875,-0.001953125,-0.01171875,-0.115234375,-0.107421875,-0.029296875,-0.046875,-0.017578125,0.033203125,0.125,-0.00390625,-0.00390625,-0.001953125,-0.0078125,-0.013671875,0.046875,0.1328125,0.0,0.0,0.0,6.28125,0.00390625,0.00390625,0.001953125,-0.0078125,0.0,0.0,0.0,0.0
