%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1421851136161511898,82972,1421851136161511898,fcu,-0.0226627581769,-0.00968473275212,-0.73375623815,0.678965675362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.115191730632,0.145036860841,-0.00733038285838,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.51012,-0.21582,10.02582,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1421851136163513899,82973,1421851136163513899,fcu,-0.0227868629177,-0.00967798754018,-0.733815335632,0.678897745339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0306305283725,-0.259966792085,-0.0594284610304,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.51012,-0.21582,10.02582,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1421851136177517891,82980,1421851136177517891,fcu,-0.0230390039417,-0.00978974948438,-0.733872422392,0.678825922277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0303687289847,-0.00994837673637,0.0646644487864,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.41202,-0.0981,9.80019,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1421851136179517984,82981,1421851136179517984,fcu,-0.022974985044,-0.00973048516329,-0.733873426996,0.678827858053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0515744793964,0.0238237442897,0.0400553063333,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.41202,-0.0981,9.80019,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1421851136183519840,82983,1421851136183519840,fcu,-0.0227924874741,-0.00979930587044,-0.733872726888,0.678833777039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0753982236862,0.00314159265359,-0.0246091424531,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.43164,-0.1962,9.97677,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1421851136185519934,82984,1421851136185519934,fcu,-0.0228525762847,-0.00973326912991,-0.733932815698,0.678767740299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.123307511653,-0.0235619449019,-0.0699004365424,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.43164,-0.1962,9.96696,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1421851136187521935,82985,1421851136187521935,fcu,-0.0228525762847,-0.00973326912991,-0.733932815698,0.678767740299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.122260314102,0.0921533845053,0.01308996939,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.43164,-0.1962,9.96696,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1421851136189522028,82986,1421851136189522028,fcu,-0.0227885516981,-0.00967401033495,-0.733933814464,0.678769660063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0882263936883,0.140062672473,0.0646644487864,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.40221,-0.12753,9.81981,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1421851136191521883,82987,1421851136191521883,fcu,-0.0226596680445,-0.00955746998995,-0.733876558273,0.678837529479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00523598775598,0.141371669412,0.0903207887907,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.40221,-0.12753,9.81981,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1421851136193523884,82988,1421851136193523884,fcu,-0.0226004282084,-0.0096215127647,-0.733875721432,0.678839504323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0644026493986,-0.127758101246,-0.0358665161285,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.40221,-0.12753,9.81981,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1421851136201525927,82992,1421851136201525927,fcu,-0.0225964768991,-0.00949623350987,-0.733936777226,0.678775388339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0696386371546,0.065188047562,0.0725184304204,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.40221,-0.15696,9.87867,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1421851136203526020,82993,1421851136203526020,fcu,-0.0224732170428,-0.00950102253845,-0.733936927309,0.678779251169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.160221225333,0.0109955742876,-0.0751364242984,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.43164,-0.20601,9.9081,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1421851136215529919,82999,1421851136215529919,fcu,-0.0224700625497,-0.00937379364118,-0.734057182592,0.678651074535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0185877565337,0.0123045712266,-0.0672824426644,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.41202,-0.25506,10.02582,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1421851136217531919,83000,1421851136217531919,fcu,-0.0224748749418,-0.00949710007745,-0.734055385459,0.678651144673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126449104307,-0.109693943488,0.00314159265359,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.41202,-0.25506,10.02582,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1421851136225533962,83004,1421851136225533962,fcu,-0.0223971929961,-0.00906597698596,-0.734120877171,0.67858876465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0191113553093,0.0183259571459,-0.06780604144,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,0.41202,-0.22563,9.91791,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
