%time,field.header.seq,field.header.stamp,field.header.frame_id,field.channel0,field.channel1,field.channel2,field.channel3,field.channel4,field.channel5,field.channel6,field.channel7
1421851407847455978,8752,1421851407847455978,0,2080,1984,2368,2032,4080,4080,0,0
1421851407897455931,8753,1421851407897455931,0,2080,1984,2368,2032,4080,4080,0,0
1421851407947458029,8754,1421851407947458029,0,2080,1984,2368,2032,4080,4080,0,0
1421851407997459888,8755,1421851407997459888,0,2080,1984,2368,2032,4080,4080,0,0
1421851408047461987,8756,1421851408047461987,0,2080,1984,2368,2032,4080,4080,0,0
1421851408097463846,8757,1421851408097463846,0,2080,1984,2368,2032,4080,4080,0,0
1421851408147465944,8758,1421851408147465944,0,2080,1984,2368,2032,4080,4080,0,0
1421851408197465897,8759,1421851408197465897,0,2080,1984,2368,2032,4080,4080,0,0
1421851408247467995,8760,1421851408247467995,0,2080,1984,2352,2032,4080,4080,0,0
1421851408297469854,8761,1421851408297469854,0,2080,1984,2352,2032,4080,4080,0,0
1421851408347471952,8762,1421851408347471952,0,2080,1984,2352,2032,4080,4080,0,0
1421851408397474051,8763,1421851408397474051,0,2080,1984,2352,2032,4080,4080,0,0
1421851408447475910,8764,1421851408447475910,0,2080,1984,2336,2032,4080,4080,0,0
1421851408497475863,8765,1421851408497475863,0,2080,1984,2336,2032,4080,4080,0,0
1421851408547477961,8766,1421851408547477961,0,2080,1984,2336,2032,4080,4080,0,0
1421851408597479820,8767,1421851408597479820,0,2080,1984,2320,2032,4080,4080,0,0
1421851408647481918,8768,1421851408647481918,0,2080,1984,2320,2032,4080,4080,0,0
1421851408697484016,8769,1421851408697484016,0,2080,1984,2320,2032,4080,4080,0,0
1421851408747485876,8770,1421851408747485876,0,2080,1984,2320,2032,4080,4080,0,0
1421851408797485828,8771,1421851408797485828,0,2080,1984,2320,2032,4080,4080,0,0
1421851408847487926,8772,1421851408847487926,0,2080,1984,2320,2032,4080,4080,0,0
1421851408897490025,8773,1421851408897490025,0,2080,1984,2320,2032,4080,4080,0,0
1421851408947491884,8774,1421851408947491884,0,2080,1984,2320,2032,4080,4080,0,0
1421851408997493982,8775,1421851408997493982,0,2080,1984,2320,2032,4080,4080,0,0
1421851409047495842,8776,1421851409047495842,0,2080,1984,2320,2032,4080,4080,0,0
1421851409097496033,8777,1421851409097496033,0,2080,1984,2320,2032,4080,4080,0,0
1421851409147497892,8778,1421851409147497892,0,2080,1984,2320,2032,4080,4080,0,0
1421851409197499990,8779,1421851409197499990,0,2080,1984,2320,2032,4080,4080,0,0
1421851409247501850,8780,1421851409247501850,0,2080,1984,2320,2032,4080,4080,0,0
1421851409297503948,8781,1421851409297503948,0,2080,1984,2320,2032,4080,4080,0,0
1421851409347506046,8782,1421851409347506046,0,2080,1984,2320,2032,4080,4080,0,0
1421851409397505999,8783,1421851409397505999,0,2080,1984,2320,2032,4080,4080,0,0
1421851409447507858,8784,1421851409447507858,0,2080,1984,2320,2032,4080,4080,0,0
1421851409497509956,8785,1421851409497509956,0,2080,1984,2320,2032,4080,4080,0,0
1421851409547512054,8786,1421851409547512054,0,2080,1984,2320,2032,4080,4080,0,0
1421851409597513914,8787,1421851409597513914,0,2080,1984,2320,2032,4080,4080,0,0
1421851409647516012,8788,1421851409647516012,0,2080,1984,2320,2032,4080,4080,0,0
1421851409697515965,8789,1421851409697515965,0,2080,1984,2320,2032,4080,4080,0,0
1421851409747517824,8790,1421851409747517824,0,2080,1984,2336,2032,4080,4080,0,0
1421851409797519922,8791,1421851409797519922,0,2080,1984,2336,2032,4080,4080,0,0
1421851409847513914,8792,1421851409847513914,0,2080,1984,2352,2032,4080,4080,0,0
1421851409897505999,8793,1421851409897505999,0,2080,1984,2352,2032,4080,4080,0,0
1421851409947497845,8794,1421851409947497845,0,2080,1984,2368,2032,4080,4080,0,0
1421851409997489929,8795,1421851409997489929,0,2080,1984,2368,2032,4080,4080,0,0
1421851410047483921,8796,1421851410047483921,0,2080,1984,2368,2032,4080,4080,0,0
1421851410097476006,8797,1421851410097476006,0,2080,1984,2368,2032,4080,4080,0,0
1421851410147467852,8798,1421851410147467852,0,2080,1984,2368,2032,4080,4080,0,0
1421851410197459936,8799,1421851410197459936,0,2080,1984,2368,2032,4080,4080,0,0
1421851410247452021,8800,1421851410247452021,0,2080,1984,2368,2032,4080,4080,0,0
1421851410297443867,8801,1421851410297443867,0,2080,1984,2368,2032,4080,4080,0,0
1421851410347437859,8802,1421851410347437859,0,2080,1984,2368,2032,4080,4080,0,0
1421851410397429943,8803,1421851410397429943,0,2080,1984,2368,2032,4080,4080,0,0
1421851410447422028,8804,1421851410447422028,0,2080,1984,2368,2032,4080,4080,0,0
1421851410497413874,8805,1421851410497413874,0,2080,1984,2368,2032,4080,4080,0,0
1421851410547405958,8806,1421851410547405958,0,2080,1984,2368,2032,4080,4080,0,0
1421851410597398043,8807,1421851410597398043,0,2080,1984,2368,2032,4080,4080,0,0
1421851410647389889,8808,1421851410647389889,0,2080,1984,2368,2032,4080,4080,0,0
1421851410697383881,8809,1421851410697383881,0,2080,1984,2368,2032,4080,4080,0,0
1421851410747375965,8810,1421851410747375965,0,2080,1984,2336,2032,4080,4080,0,0
1421851410797368050,8811,1421851410797368050,0,2080,1984,2336,2032,4080,4080,0,0
1421851410847359896,8812,1421851410847359896,0,2080,1984,2304,2032,4080,4080,0,0
1421851410897351980,8813,1421851410897351980,0,2080,1984,2304,2032,4080,4080,0,0
1421851410947343826,8814,1421851410947343826,0,2080,1984,2304,2032,4080,4080,0,0
1421851410997337818,8815,1421851410997337818,0,2080,1984,2304,2032,4080,4080,0,0
1421851411047329903,8816,1421851411047329903,0,2080,1984,2304,2032,4080,4080,0,0
1421851411097321987,8817,1421851411097321987,0,2080,1984,2304,2032,4080,4080,0,0
1421851411147313833,8818,1421851411147313833,0,2080,1984,2304,2032,4080,4080,0,0
1421851411197305918,8819,1421851411197305918,0,2080,1984,2304,2032,4080,4080,0,0
1421851411247298002,8820,1421851411247298002,0,2080,1984,2304,2032,4080,4080,0,0
1421851411297289848,8821,1421851411297289848,0,2080,1984,2304,2032,4080,4080,0,0
1421851411347283840,8822,1421851411347283840,0,2080,1984,2304,2032,4080,4080,0,0
1421851411397275925,8823,1421851411397275925,0,2080,1984,2304,2032,4080,4080,0,0
1421851411447268009,8824,1421851411447268009,0,2080,1984,2304,2032,4080,4080,0,0
1421851411497259855,8825,1421851411497259855,0,2080,1984,2304,2032,4080,4080,0,0
1421851411547251940,8826,1421851411547251940,0,2080,1984,2320,2032,4080,4080,0,0
